drug	status	target	atc	cas
lyme disease vaccine (recombinant ospa)	approved	TLR2		
insulin lispro	approved	INSR	A10AC04	133107-64-9
insulin glargine	approved	INSR	A10AE54	160337-95-1
collagenase clostridium histolyticum	approved	COL1A1,COL2A1,COL3A1	D03BA02	9001-12-1
rasburicase	approved		V03AF07	134774-45-1
cetrorelix	approved	GNRHR	H01CC02	120287-85-6
adalimumab	approved	TNF	L04AB04	331731-18-1
somatotropin	approved	GHR,PRLR	H01AC01	12629-01-5
imiglucerase	approved		A16AB02	154248-97-2
abciximab	non			
abciximab	approved	ITGB3,ITGA2B	B01AC13	143653-53-6
drotrecogin alfa	approved	F8,F5	B01AD10	98530-76-8
gemtuzumab ozogamicin	approved	CD33	L01XC05	220578-59-6
indium in-111 satumomab pendetide	non		V09IB02	138955-27-8
alpha-1-proteinase inhibitor	approved	ELANE	B02AB02	9041-92-3
pegaspargase	approved		L01XX24	130167-69-0
interferon beta-1a	approved	IFNAR1,IFNAR2	L03AB07	145258-61-3
pegademase	approved		L03AX04	130167-68-9
albumin human	approved			9048-46-8
eptifibatide	non			
eptifibatide	approved	ITGB3	B01AC16	188627-80-7
infliximab	approved	TNF	L04AB02	170277-31-3
follitropin	approved	FSHR	G03GA06	146479-72-3
vasopressin	approved	AVPR2,AVPR1A,AVPR1B		11000-17-2
interferon beta-1b	approved	IFNAR1,IFNAR2	L03AB08	145155-23-3
interferon alfacon-1	approved	IFNAR1,IFNAR2	L03AB09	118390-30-0
hyaluronidase (ovine)	approved			488712-31-8
insulin pork	approved	INSR	A10AC03	12584-58-6
trastuzumab	non			
trastuzumab	approved	ERBB2	L01XC03	180288-69-1
rituximab	approved	MS4A1	L01XC02	174722-31-7
basiliximab	approved	IL2RA	L04AC02	179045-86-4
muromonab	approved	CD3D,CD3E,CD3G,CD247	L04AA02	140608-64-6
digoxin immune fab (ovine)	approved		V03AB24	
ibritumomab tiuxetan	approved	MS4A1	V10XX02	206181-63-7
daptomycin	approved		J01XX09	103060-53-3
tositumomab	approved	MS4A1	V10XA53	208921-02-2
pegvisomant	approved	GHR	H01AX01	218620-50-9
botulinum toxin type a	approved	SNAP25	M03AX01	93384-43-1
pancrelipase	approved		A09AA02	53608-75-6
streptokinase	non			
phylloquinone	non			
calcium	non			
streptokinase	approved	PLG	B01AD01	9002-01-1
alemtuzumab	approved	CD52	L04AA34	216503-57-0
alglucerase	approved		A16AB01	143003-46-7
capromab pendetide	approved	FOLH1	V09IB04	145464-28-4
laronidase	approved		A16AB05	210589-09-6
cyclosporine	approved	CAMLG,PPP3R2,PPIA,PPIF	L04AD01	59865-13-3
alefacept	approved	CD2	L04AA15	222535-22-0
felypressin	non	AVPR1A		56-59-7
urofollitropin	approved	FSHR	G03GA04	97048-13-0
efalizumab	approved	ITGAL,ITGAX	L04AA21	214745-43-4
choriogonadotropin alfa	approved	LHCGR,FSHR	G03GA08	177073-44-8
antithymocyte immunoglobulin (rabbit)	approved	MR1,ITGAL,CD86,FCGR2B,CD4,ITGB1,ITGAV,ITGB3	L04AA04	308067-60-9
filgrastim	approved	CSF3R	L03AA02	121181-53-1
coagulation factor ix (recombinant)	approved	F10,F11,F7,F8		181054-95-5
becaplermin	approved	PDGFRB	D03AX06	165101-51-9
agalsidase beta	approved		A16AB04	
octreotide	approved		H01CB02	83150-76-9
interferon alfa-2b	approved	IFNAR2,IFNAR1	L03AB05	98530-12-2
abarelix	approved	GNRHR	L02BX01	183552-38-7
oxytocin	approved	OXTR	G02AC01	50-56-6
natalizumab	approved	ITGA4	L04AA23	189261-10-7
enfuvirtide	approved		J05AX07	159519-65-0
palivizumab	approved		J06BB16	188039-54-5
daclizumab	non	IL2RA,IL2RB	L04AC01	152923-56-3
bevacizumab	non			
bevacizumab	approved	VEGFA	L01XC07	216974-75-3
technetium tc-99m arcitumomab	non		V09IA06	154361-49-6
pyridoxal phosphate	non			
pyruvic acid	non			
arginine	non			
aspartic acid	non			
ornithine	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
citrulline	non			
nadh	non			
alanine	non			
atp	non			
calcium	non			
urea	non			
pyrophosphoric acid	non			
maleic acid	non			
pyridoxal phosphate	non			
pyruvic acid	non			
arginine	non			
aspartic acid	non			
ornithine	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
citrulline	non			
nadh	non			
alanine	non			
atp	non			
calcium	non			
urea	non			
pyrophosphoric acid	non			
maleic acid	non			
pyridoxal phosphate	non			
tetrahydrofolic acid	non			
ademetionine	non			
pyruvic acid	non			
arginine	non			
adenosine phosphate	non			
serine	non			
methionine	non			
glutamic acid	non			
glycine	non			
creatine	non			
cysteine	non			
nadh	non			
alanine	non			
atp	non			
aminolevulinic acid	non			
magnesium cation	non			
zinc	non			
n,n-dimethylglycine	non			
glycocyamine	non			
3-hydroxypyruvic acid	non			
orotidylic acid	non			
flavin adenine dinucleotide	non			
pyruvaldehyde	non			
formaldehyde	non			
2-amino-3-ketobutyric acid	non			
d-serine	non			
pyrophosphoric acid	non			
glyoxylic acid	non			
dexfosfoserine	non			
2-oxobutanoic acid	non			
pyridoxal phosphate	non			
ademetionine	non			
ascorbic acid	non			
aspartic acid	non			
tyrosine	non			
glutamic acid	non			
nadh	non			
sapropterin	non			
norepinephrine	non			
epinephrine	non			
dopamine	non			
levodopa	non			
calcium	non			
magnesium cation	non			
iron	non			
zinc	non			
2-(3,4-dihydroxyphenyl)acetic acid	non			
acetoacetic acid	non			
methylamine	non			
1,2-dihydroxybenzene	non			
flavin adenine dinucleotide	non			
pyrroloquinoline quinone	non			
maleic acid	non			
4-hydroxyphenylpyruvic acid	non			
homogentisic acid	non			
pyridoxal phosphate	non			
tetrahydrofolic acid	non			
histidine	non			
pyruvic acid	non			
biotin	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
serine	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
asparagine	non			
magnesium cation	non			
trans-urocanic acid	non			
flavin adenine dinucleotide	non			
pyrophosphoric acid	non			
pyridoxal phosphate	non			
ademetionine	non			
ascorbic acid	non			
tyrosine	non			
norepinephrine	non			
epinephrine	non			
dopamine	non			
levodopa	non			
iron	non			
pyrroloquinoline quinone	non			
pyridoxal phosphate	non			
biotin	non			
adenosine phosphate	non			
glutamic acid	non			
nadh	non			
valine	non			
atp	non			
beta-alanine	non			
flavin adenine dinucleotide	non			
hydracrylic acid	non			
propanoic acid	non			
pyrophosphoric acid	non			
methylmalonic acid	non			
malonyl-coa	non			
2-oxobutanoic acid	non			
pyridoxal phosphate	non			
ademetionine	non			
arginine	non			
aspartic acid	non			
ornithine	non			
adenosine phosphate	non			
succinic acid	non			
glutamic acid	non			
glycine	non			
creatine	non			
citrulline	non			
nadh	non			
atp	non			
proline	non			
sapropterin	non			
nitric oxide	non			
mesoheme	non			
glycocyamine	non			
3,4-dihydro-2h-pyrrolium-5-carboxylate	non			
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non			
flavin adenine dinucleotide	non			
flavin mononucleotide	non			
urea	non			
pyrophosphoric acid	non			
maleic acid	non			
4-carboxy-4-aminobutanal	non			
pyridoxal phosphate	non			
cysteine	non			
cysteamine	non			
iron	non			
taurine	non			
pyridoxal phosphate	non			
glycine	non			
nadh	non			
aminolevulinic acid	non			
iron	non			
zinc	non			
protoporphyrin	non			
mesoheme	non			
flavin adenine dinucleotide	non			
uridine-5'-diphosphate	non			
coproporphyrinogen iii	non			
farnesyl diphosphate	non			
pyridoxal phosphate	non			
adenosine phosphate	non			
serine	non			
alanine	non			
atp	non			
adenosine	non			
selenocysteine	non			
pyrophosphoric acid	non			
2-oxobutanoic acid	non			
pyridoxal phosphate	non			
tetrahydrofolic acid	non			
histidine	non			
ademetionine	non			
adenosine phosphate	non			
glutamic acid	non			
nadh	non			
atp	non			
calcium	non			
zinc	non			
trans-urocanic acid	non			
beta-alanine	non			
flavin adenine dinucleotide	non			
1-methylhistidine	non			
pyrophosphoric acid	non			
pyridoxal phosphate	non			
nadh	non			
atp	non			
calcium	non			
magnesium cation	non			
uridine diphosphate glucose	non			
maltose	non			
uridine-5'-diphosphate	non			
pyrophosphoric acid	non			
pyridoxal phosphate	non			
pyruvic acid	non			
biotin	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
succinic acid	non			
glutamic acid	non			
glutathione	non			
glycine	non			
cysteine	non			
nadh	non			
alanine	non			
atp	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
guanosine-5'-monophosphate	non			
gamma-aminobutyric acid	non			
flavin adenine dinucleotide	non			
gamma-glutamylcysteine	non			
pyrophosphoric acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
tetrahydrofolic acid	non			
ademetionine	non			
choline	non			
adenosine phosphate	non			
serine	non			
methionine	non			
glycine	non			
cysteine	non			
nadh	non			
atp	non			
adenosine	non			
potassium cation	non			
magnesium cation	non			
zinc	non			
putrescine	non			
n,n-dimethylglycine	non			
4-methylthio-2-oxobutanoic acid	non			
flavin adenine dinucleotide	non			
spermidine	non			
pyrophosphoric acid	non			
l-homoserine	non			
2-oxobutanoic acid	non			
pyridoxal phosphate	non			
l-lysine	non			
glutamic acid	non			
nadh	non			
flavin adenine dinucleotide	non			
l-saccharopine	non			
pyridoxal phosphate	non			
ademetionine	non			
arginine	non			
aspartic acid	non			
ornithine	non			
adenosine phosphate	non			
succinic acid	non			
glutamic acid	non			
glycine	non			
creatine	non			
citrulline	non			
nadh	non			
atp	non			
proline	non			
sapropterin	non			
nitric oxide	non			
mesoheme	non			
glycocyamine	non			
3,4-dihydro-2h-pyrrolium-5-carboxylate	non			
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non			
flavin adenine dinucleotide	non			
flavin mononucleotide	non			
urea	non			
pyrophosphoric acid	non			
maleic acid	non			
4-carboxy-4-aminobutanal	non			
pyridoxal phosphate	non			
tetrahydrofolic acid	non			
histidine	non			
ademetionine	non			
adenosine phosphate	non			
glutamic acid	non			
nadh	non			
atp	non			
calcium	non			
zinc	non			
trans-urocanic acid	non			
beta-alanine	non			
flavin adenine dinucleotide	non			
1-methylhistidine	non			
pyrophosphoric acid	non			
pyridoxal phosphate	non			
ademetionine	non			
ascorbic acid	non			
aspartic acid	non			
tyrosine	non			
glutamic acid	non			
nadh	non			
sapropterin	non			
norepinephrine	non			
epinephrine	non			
dopamine	non			
levodopa	non			
calcium	non			
magnesium cation	non			
iron	non			
zinc	non			
2-(3,4-dihydroxyphenyl)acetic acid	non			
acetoacetic acid	non			
methylamine	non			
1,2-dihydroxybenzene	non			
flavin adenine dinucleotide	non			
pyrroloquinoline quinone	non			
maleic acid	non			
4-hydroxyphenylpyruvic acid	non			
homogentisic acid	non			
pyridoxal phosphate	non			
l-lysine	non			
glutamic acid	non			
nadh	non			
flavin adenine dinucleotide	non			
l-saccharopine	non			
pyridoxal phosphate	non			
pyruvic acid	non			
biotin	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
succinic acid	non			
glutamic acid	non			
glutathione	non			
glycine	non			
cysteine	non			
nadh	non			
alanine	non			
atp	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
guanosine-5'-monophosphate	non			
gamma-aminobutyric acid	non			
flavin adenine dinucleotide	non			
gamma-glutamylcysteine	non			
pyrophosphoric acid	non			
pyridoxal phosphate	non			
serine	non			
atp	non			
calcium	non			
magnesium cation	non			
zinc	non			
uridine diphosphate glucose	non			
hexadecanal	non			
uridine-5'-diphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
pyridoxal phosphate	non			
ademetionine	non			
arginine	non			
aspartic acid	non			
ornithine	non			
adenosine phosphate	non			
succinic acid	non			
glutamic acid	non			
glycine	non			
creatine	non			
citrulline	non			
nadh	non			
atp	non			
proline	non			
sapropterin	non			
nitric oxide	non			
mesoheme	non			
glycocyamine	non			
3,4-dihydro-2h-pyrrolium-5-carboxylate	non			
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non			
flavin adenine dinucleotide	non			
flavin mononucleotide	non			
urea	non			
pyrophosphoric acid	non			
maleic acid	non			
4-carboxy-4-aminobutanal	non			
pyridoxal phosphate	non			
ademetionine	non			
arginine	non			
aspartic acid	non			
ornithine	non			
adenosine phosphate	non			
succinic acid	non			
glutamic acid	non			
glycine	non			
creatine	non			
citrulline	non			
nadh	non			
atp	non			
proline	non			
sapropterin	non			
nitric oxide	non			
mesoheme	non			
glycocyamine	non			
3,4-dihydro-2h-pyrrolium-5-carboxylate	non			
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non			
flavin adenine dinucleotide	non			
flavin mononucleotide	non			
urea	non			
pyrophosphoric acid	non			
maleic acid	non			
4-carboxy-4-aminobutanal	non			
pyridoxal phosphate	non			
phenylalanine	non			
adenosine phosphate	non			
tyrosine	non			
glutamic acid	non			
atp	non			
calcium	non			
magnesium cation	non			
iron	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
phenylpyruvic acid	non			
pyrophosphoric acid	non			
maleic acid	non			
4-hydroxyphenylpyruvic acid	non			
homogentisic acid	non			
pyridoxal phosphate	non			
ademetionine	non			
ascorbic acid	non			
aspartic acid	non			
adenosine phosphate	non			
tyrosine	non			
glutamic acid	non			
nadh	non			
atp	non			
sapropterin	non			
norepinephrine	non			
epinephrine	non			
disulfiram	non			
ethanol	non			
dopamine	non			
levodopa	non			
calcium	non			
magnesium cation	non			
iron	non			
zinc	non			
2-(3,4-dihydroxyphenyl)acetic acid	non			
acetoacetic acid	non			
methylamine	non			
1,2-dihydroxybenzene	non			
mesoheme	non			
flavin adenine dinucleotide	non			
acetic acid	non			
pyrroloquinoline quinone	non			
pyrophosphoric acid	non			
maleic acid	non			
4-hydroxyphenylpyruvic acid	non			
homogentisic acid	non			
pyridoxal phosphate	non			
ademetionine	non			
l-lysine	non			
ascorbic acid	non			
succinic acid	non			
glycine	non			
nadh	non			
levocarnitine	non			
iron	non			
pyridoxal phosphate	approved		A11HA06	54-47-7
cyanocobalamin	approved	MTR,MMUT	B03BA01	68-19-9
pyridoxal phosphate	non			
tetrahydrofolic acid	non			
ademetionine	non			
choline	non			
adenosine phosphate	non			
serine	non			
methionine	non			
glycine	non			
cysteine	non			
nadh	non			
atp	non			
adenosine	non			
potassium cation	non			
magnesium cation	non			
zinc	non			
putrescine	non			
n,n-dimethylglycine	non			
4-methylthio-2-oxobutanoic acid	non			
flavin adenine dinucleotide	non			
spermidine	non			
pyrophosphoric acid	non			
l-homoserine	non			
2-oxobutanoic acid	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
pyridoxal phosphate	non			
tetrahydrofolic acid	non			
ademetionine	non			
choline	non			
adenosine phosphate	non			
serine	non			
methionine	non			
glycine	non			
cysteine	non			
nadh	non			
atp	non			
adenosine	non			
potassium cation	non			
magnesium cation	non			
zinc	non			
putrescine	non			
n,n-dimethylglycine	non			
4-methylthio-2-oxobutanoic acid	non			
flavin adenine dinucleotide	non			
spermidine	non			
pyrophosphoric acid	non			
l-homoserine	non			
2-oxobutanoic acid	non			
pyridoxal phosphate	non			
tetrahydrofolic acid	non			
ademetionine	non			
pyruvic acid	non			
arginine	non			
adenosine phosphate	non			
serine	non			
methionine	non			
glutamic acid	non			
glycine	non			
creatine	non			
cysteine	non			
nadh	non			
alanine	non			
atp	non			
aminolevulinic acid	non			
magnesium cation	non			
zinc	non			
n,n-dimethylglycine	non			
glycocyamine	non			
3-hydroxypyruvic acid	non			
orotidylic acid	non			
flavin adenine dinucleotide	non			
pyruvaldehyde	non			
formaldehyde	non			
2-amino-3-ketobutyric acid	non			
d-serine	non			
pyrophosphoric acid	non			
glyoxylic acid	non			
dexfosfoserine	non			
2-oxobutanoic acid	non			
pyridoxal phosphate	non			
tetrahydrofolic acid	non			
ademetionine	non			
pyruvic acid	non			
arginine	non			
adenosine phosphate	non			
serine	non			
methionine	non			
glutamic acid	non			
glycine	non			
creatine	non			
cysteine	non			
nadh	non			
alanine	non			
atp	non			
aminolevulinic acid	non			
magnesium cation	non			
zinc	non			
n,n-dimethylglycine	non			
glycocyamine	non			
3-hydroxypyruvic acid	non			
orotidylic acid	non			
flavin adenine dinucleotide	non			
pyruvaldehyde	non			
formaldehyde	non			
2-amino-3-ketobutyric acid	non			
d-serine	non			
pyrophosphoric acid	non			
glyoxylic acid	non			
dexfosfoserine	non			
2-oxobutanoic acid	non			
tetrahydrofolic acid	non			
ademetionine	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
azathioprine	non			
mercaptopurine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
ademetionine	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
tioguanine	non			
adenosine	non			
mercaptopurine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
pyridoxal phosphate	non			
tetrahydrofolic acid	non			
glutamic acid	non			
nadh	non			
folic acid	non			
atp	non			
methotrexate	non			
leucovorin	non			
calcium	non			
magnesium cation	non			
formic acid	non			
flavin adenine dinucleotide	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
pyridoxal phosphate	non			
tetrahydrofolic acid	non			
glutamic acid	non			
nadh	non			
folic acid	non			
atp	non			
leucovorin	non			
calcium	non			
magnesium cation	non			
formic acid	non			
flavin adenine dinucleotide	non			
pyridoxal phosphate	non			
tetrahydrofolic acid	non			
ademetionine	non			
pyruvic acid	non			
arginine	non			
adenosine phosphate	non			
serine	non			
methionine	non			
glutamic acid	non			
glycine	non			
creatine	non			
cysteine	non			
nadh	non			
alanine	non			
atp	non			
aminolevulinic acid	non			
magnesium cation	non			
zinc	non			
n,n-dimethylglycine	non			
glycocyamine	non			
3-hydroxypyruvic acid	non			
orotidylic acid	non			
flavin adenine dinucleotide	non			
pyruvaldehyde	non			
formaldehyde	non			
2-amino-3-ketobutyric acid	non			
d-serine	non			
pyrophosphoric acid	non			
glyoxylic acid	non			
dexfosfoserine	non			
2-oxobutanoic acid	non			
pyridoxal phosphate	non			
tetrahydrofolic acid	non			
histidine	non			
pyruvic acid	non			
biotin	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
serine	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
asparagine	non			
magnesium cation	non			
trans-urocanic acid	non			
flavin adenine dinucleotide	non			
pyrophosphoric acid	non			
pyridoxal phosphate	non			
tetrahydrofolic acid	non			
histidine	non			
ademetionine	non			
adenosine phosphate	non			
glutamic acid	non			
nadh	non			
atp	non			
calcium	non			
zinc	non			
trans-urocanic acid	non			
beta-alanine	non			
flavin adenine dinucleotide	non			
1-methylhistidine	non			
pyrophosphoric acid	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
ademetionine	non			
choline	non			
methionine	non			
nadh	non			
atp	non			
adenosine	non			
potassium cation	non			
magnesium cation	non			
zinc	non			
n,n-dimethylglycine	non			
flavin adenine dinucleotide	non			
pyrophosphoric acid	non			
betaine aldehyde	non			
pyridoxal phosphate	non			
tetrahydrofolic acid	non			
ademetionine	non			
choline	non			
adenosine phosphate	non			
serine	non			
methionine	non			
glycine	non			
cysteine	non			
nadh	non			
atp	non			
adenosine	non			
potassium cation	non			
magnesium cation	non			
zinc	non			
putrescine	non			
n,n-dimethylglycine	non			
4-methylthio-2-oxobutanoic acid	non			
flavin adenine dinucleotide	non			
spermidine	non			
