assoc_mesh_id	assoc_mesh_term	or	or_l95	or_u95	fisher_p	sim_obs	sim_not	dis_obs	dis_not	genes	drugs	side_effects	ppv	ppv_l95	ppv_u95	npv	npv_l95	npv_u95
D007319	Sleep Initiation and Maintenance Disorders	16.135489725662733	5.133975041925411	60.071286930399744	1.3337209625131257e-7	12	5	84	569	SLC6A3, CHRM1, PDE4B, GRIA1	bupropion, cevimeline, ipratropium, lisdexamfetamine, methylphenidate, nefopam, olanzapine, oxybutynin, phentermine, roflumilast, topiramate, zyprexa	Sleep Initiation and Maintenance Disorders	0.7058823529411765	0.46866889933460165	0.8672001038970478	0.8713629402756509	0.8434955538911614	0.8948865830567384
D003920	Diabetes Mellitus	7.661989839432877	3.574305025253188	15.368600541029831	6.049250744479544e-7	12	32	618	12629	ADRA2A, PDE3A, GLP1R, ABCC8, INSR, VEGFA, PPARG	brimonidine, cilostazol, exenatide, glimepiride, humalog, insulin, lantus, mirtazapine, novolog, pegaptanib, pioglitazone, rosiglitazone	Diabetes Mellitus	0.2727272727272727	0.16346381623843376	0.41848873092451183	0.9533479278327168	0.9496233268658244	0.9568096749421197
D008133	Long QT Syndrome	50.23292835084381	11.273740384691862	207.82397041584238	8.312580047320309e-7	5	8	12	989	SCN5A, KCNH2	amiodarone, bepridil, propafenone, sotalol, vernakalant	Long QT Syndrome	0.38461538461538464	0.17709707797762575	0.644771084873343	0.988011988011988	0.9791634491108013	0.9931292358930901
D010003	Osteoarthritis	24.85203280810052	6.851207477335247	87.11275788972767	2.042310264198092e-6	6	7	275	7986	GABRA3	alprazolam, clobazam, clonazepam, diazepam, midazolam, temazepam	Osteoarthritis	0.46153846153846156	0.2320606780953831	0.7085620428549398	0.966711051930759	0.9626205579952813	0.9703676957322475
D004700	Endocrine System Diseases	4.066989421115918	2.299352289068335	6.821765778448966	3.075109284709017e-6	18	91	1154	23729	NR3C1, RXRA, COMT, OPRM1, INSR, PDGFRA, VDR, FGFR1, PDE4B, RAF1	acth(1-39, bexarotene, budesonide, clobetasol, clobetasone, entacapone, fentanyl, insulin, mometasone, nilotinib, paricalcitol, pazopanib, prednisone, regorafenib, roflumilast, sorafenib, sunitinib, tramadol	Endocrine System Diseases	0.1651376146788991	0.10708689548802482	0.24598775665735806	0.9536229554314191	0.9509392160321684	0.9561666550505077
D015228	Hypertriglyceridemia	4.974947242706568	2.4391668884674407	9.462949083918733	1.4684669709418949e-5	13	66	106	2680	DRD2, ADRB1, F2, KIT, FGFR1, PPARG, RARA	aripiprazole, asenapine, bisoprolol, carvedilol, lmwh, nilotinib, olanzapine, paliperidone, ponatinib, risperidone, rosiglitazone, tazarotene, zyprexa	Hypertriglyceridemia	0.16455696202531644	0.09876707200220362	0.26145665227194703	0.9619526202440776	0.954189090612925	0.968443982984048
D006261	Headache	Inf	10.266767137142438	Inf	6.321112515802766e-5	3	0	7	216	PDE4B, CPS1	apremilast, n-carbamylglutamate, roflumilast	Headache	1	0.43850296824495466	1	0.968609865470852	0.9366353037967319	0.9847130294689397
D016889	Endometrial Neoplasms	6.976697760086573	2.6110666135499283	16.851522661772602	1.03414831607346e-4	8	22	89	1712	CYP19A1, ESR1	anastrozole, conjugated, estrofem, letrozole, raloxifene, tamoxifen, tibolone, toremifene	Endometrial Neoplasms	0.26666666666666666	0.14182663319596328	0.4444796169518888	0.9505830094392005	0.9395789754728741	0.9596689845448932
D001281	Atrial Fibrillation	38.099726906250154	5.176292070849811	438.2562112549989	1.1117243970075244e-4	4	24	2	469	SCN5A, HCN4	amiodarone, ivabradine, procainamide, riluzole	Atrial Fibrillation	0.14285714285714285	0.05699005319749392	0.31489802163525293	0.9957537154989384	0.9846514115849222	0.9988347422143499
D020521	Stroke	31.197351959459137	5.0144674845128065	223.41914211870846	1.1444771286653682e-4	4	3	27	644	PDE3A, EDNRA, FGA	anagrelide, bosentan, sitaxsentan, tranexamic	Stroke	0.5714285714285714	0.25045836452765724	0.8417801447485301	0.9597615499254843	0.9420883297362308	0.972200488674876
D000410	Alanine Transaminase	10.429752121065485	2.836325469682834	40.88114831778409	1.244067038157079e-4	8	19	6	152	CYP19A1, PPARG, ANPEP, S1PR1, MTTP, FGFR2	anastrozole, bezafibrate, doxorubicin, fty720, lomitapide, pioglitazone, ponatinib, troglitazone	Alanine Transaminase	0.2962962962962963	0.1585304046977977	0.48480682964148153	0.9620253164556962	0.919635757247863	0.9824816671987059
D006967	Hypersensitivity	Inf	5.899851850117059	Inf	1.8244845831052707e-4	4	0	1	25	PDE4A, NFKB1, IL12B	apremilast, bortezomib, roflumilast, ustekinumab	Hypersensitivity	1	0.5101091635454028	1	0.9615384615384616	0.8110722109696525	0.9931780150064565
D003863	Depression	6.072079504649168	2.1403511012619303	17.898207167267014	2.128189604106007e-4	12	9	31	143	DRD2, GABBR1	aripiprazole, asenapine, baclofen, cabergoline, metoclopramide, paliperidone, pergolide, pimozide, quetiapine, risperidone, ropinirole, rotigotine	Depression	0.5714285714285714	0.3654655436930671	0.7553003107462404	0.8218390804597702	0.7582209841265337	0.8715534269848949
D004802	Eosinophilia	12.162522395940035	3.1134600079863093	41.79370941231728	2.6836657168516007e-4	5	66	9	1452	LPL, KIT, BCL2, ADRB2	gemfibrozil, imatinib, nilotinib, sodium, sotalol	Eosinophilia	0.07042253521126761	0.030453602439710924	0.15449013113789906	0.9938398357289527	0.9883337918885314	0.9967557489015837
D010146	Pain	63.42031978579774	5.0732346027235335	3263.9887630823528	3.609346500667961e-4	3	1	215	4565	SCN9A	bupivacaine, ropivacaine, tetracaine	Pain	0.75	0.300641842582402	0.9544127391902995	0.9550209205020921	0.9487710261227364	0.9605400447906286
D009203	Myocardial Infarction	16.898788074184473	3.4819981167072456	69.86367897484882	3.77923745004294e-4	4	7	39	1163	PDE3A, EDNRA	anagrelide, bosentan, cilostazol, sitaxsentan	Myocardial Infarction	0.36363636363636365	0.15166471095367584	0.6461988254921511	0.9675540765391015	0.9559537942000971	0.9761753773240479
D007037	Hypothyroidism	10.346555434627568	2.43729328416619	39.53745677995788	8.452055013133877e-4	5	16	9	303	NFKB1, FLT3, INSR	bortezomib, cabozantinib, insulin, sorafenib, sunitinib	Hypothyroidism	0.23809523809523808	0.1062801302263647	0.45091173682950747	0.9711538461538461	0.9460956190332226	0.9847511453458209
D006932	Hyperbilirubinemia	10.096184305676832	2.4196455801375327	37.31363100692964	8.602992275706135e-4	5	11	14	316	RXRA, LPL, ABCC9, FGFR2	bexarotene, gemfibrozil, nicorandil, ponatinib	Hyperbilirubinemia, Jaundice	0.3125	0.14164643854782039	0.5559564416525933	0.9575757575757575	0.9300578357563206	0.9745631812582374
D001714	Bipolar Disorder	8.45617245454632	2.0363284784074724	41.325595472972076	0.0010947647090950583	7	39	4	191	DRD2, SCN2A, GRIA1	iloperidone, metoclopramide, oxcarbazepine, paliperidone, pergolide, ropinirole, topiramate	Bipolar Disorder	0.15217391304347827	0.07572282227805469	0.2822413955206099	0.9794871794871794	0.9484529877708384	0.9919947493815418
D010976	Platelet Count	5.118556012388621	1.6977682256590279	13.86117817077393	0.002039846492140656	7	34	19	475	KIT, BCL2, MPL, EGFR	axitinib, imatinib, pazopanib, sodium, su5416, sunitinib, vandetanib	Platelet Count	0.17073170731707318	0.08525251977595001	0.31262612400404177	0.9615384615384616	0.940713098046171	0.9752411518875133
D001249	Asthma	2.7319871479390803	1.3745938395118047	5.0355712889120205	0.0024205061425676875	13	64	834	11219	PDE3A, CA2, PDGFRA, ADRB2, CHRM3, HTR4, SLC6A1	anagrelide, brinzolamide, cilostazol, dasatinib, indacaterol, ipratropium, metoclopramide, olanzapine, oxybutynin, sotalol, tegaserod, tiagabine, timolol	Asthma	0.16883116883116883	0.10140668708276011	0.26772889329911176	0.9308056085621836	0.9261362898006209	0.9352004073326413
D001523	Mental Disorders	9.510511692318488	2.037482136460949	36.27365167593628	0.0025029070355435824	4	9	34	733	CACNA1C	amlodipine, isradipine, lercanidipine, nifedipine	Mental Disorders	0.3076923076923077	0.12680703655710515	0.5763065681945095	0.9556714471968709	0.9386943802362784	0.968106871825846
D008218	Lymphocytosis	0.2241134974141367	0.04533977193692967	0.6767582273865272	0.0028791346499525603	3	159	207	2458	NFKB1, PDGFRA, BCL2	bortezomib, nilotinib, sodium	Leukocytosis	0.018518518518518517	0.006317629845478453	0.05302494281805917	0.9223264540337711	0.9115457250843447	0.9318914122399048
D000799	Angioedema	72.56256231285346	3.0843074278035822	4890.700377000872	0.003219198127012002	2	1	3	130	PLG	trans	Angioedema, Urticaria	0.6666666666666666	0.20765960080204776	0.9385080552796038	0.9774436090225563	0.9357817301552714	0.9922995771801788
D021081	Chronobiology Disorders	0.11064768933139534	0.002729111587334264	0.6574203512962878	0.003811780172049968	1	40	373	1650	GRIA1	topiramate	Sleep Disorders, Circadian Rhythm	0.024390243902439025	0.004318531568912407	0.12595062055774228	0.8156203657933762	0.7981290024883156	0.8319153428365599
D006073	Gout	3.91759740184525	1.4444873397281028	9.16527638113629	0.00424185174253608	7	30	464	7792	PTH1R, CHRM1, PDE3A, INSR, SLC12A1	alx, cevimeline, cilostazol, forteo, insulin, olanzapine, torasemide	Gout	0.1891891891891892	0.09479978730312016	0.34204696929838413	0.9437984496124031	0.9386209701465347	0.9485631285475656
D005764	Gastroesophageal Reflux	3.3306350123837696	1.3201783496084145	7.3945583266037	0.005934801864572405	8	43	111	1989	PDE4B, OPRD1, ESR1	apremilast, fentanyl, hydrocodone, morphine, roflumilast, tamoxifen	Gastroesophageal Reflux, Deglutition Disorders	0.1568627450980392	0.08169223220048707	0.2801044677298776	0.9471428571428572	0.9367306578973268	0.9559221568507534
D001943	Breast Neoplasms	6.3519848464265625	1.49187845176663	20.867756314551848	0.0069618463159265955	4	13	158	3266	ESR1, SRD5A2	conjugated, dutasteride, estrofem, finasteride	Breast Neoplasms	0.23529411764705882	0.09555044322080115	0.4726179811956497	0.9538551401869159	0.9463048382249154	0.9603882038358069
D002318	Cardiovascular Diseases	2.8213692375406616	1.2278106688953532	5.739084491120035	0.00789340145904283	9	59	1758	32517	PDE3A, ADRB1, F2, INSR, FGFR2, BCHE, DBH, FGG	anagrelide, carvedilol, dalteparin, insulin, ponatinib, rivastigmine, sotalol, tetrahydrobiopterin, tranexamic	Cardiovascular Diseases	0.1323529411764706	0.0712224441022981	0.2328005974565773	0.9487089715536106	0.9463229555947823	0.9509944183587953
D007958	Leukocyte Count	4.726778655319123	1.2419109247468312	15.22692436004589	0.011530254892392258	5	28	14	373	KIT, FLT3	axitinib, imatinib, pazopanib, ponatinib, sunitinib	Leukocyte Count	0.15151515151515152	0.06650457281607566	0.30919875880442116	0.9638242894056848	0.9402003624257053	0.9783306477778412
D056128	Obesity, Abdominal	0.13554532516517462	0.0033729324972315063	0.7878467867105311	0.012325100437301707	1	152	86	1771	NR3C1	clobetasone	Obesity, Abdominal	0.006535947712418301	0.0011546884951885536	0.0360896655462531	0.9536887452880991	0.9431577361950908	0.9623465946616963
D000505	Alopecia	5.897158222169899	1.2464792448041404	22.616849523042358	0.012772717955616618	4	18	11	295	PDE3A, FYN, FGFR3	anagrelide, dasatinib, pazopanib, ponatinib	Alopecia	0.18181818181818182	0.07306884583422062	0.38516607437126543	0.9640522875816994	0.9367869274222934	0.9798108741790456
D001219	Aspartate Aminotransferases	2.8232691950701296	1.191549566778599	6.625680592610034	0.015251682239164224	15	23	25	109	ADRB1, CYP19A1, PPARG, AXL, ANPEP, MTOR, MTTP, RAF1	acebutolol, anastrozole, atenolol, betaxolol, bezafibrate, cabozantinib, carvedilol, doxorubicin, everolimus, lomitapide, nebivolol, rapamycin, regorafenib, sorafenib, temsirolimus	Aspartate Aminotransferases	0.39473684210526316	0.25598075748160104	0.5528213200395745	0.8134328358208955	0.7390804592772563	0.8703152966779114
D007249	Inflammation	3.9325278727090582	1.1406119571656896	10.969786895261976	0.015478500805975865	5	19	350	5232	KIT, VEGFA, RARB, CHRNB2	cabozantinib, dasatinib, pegaptanib, tazarotene, varenicline	Inflammation	0.20833333333333334	0.09244825352851854	0.40470453253188654	0.9372984593335721	0.9306331803367526	0.9433622661846938
D006980	Hyperthyroidism	Inf	1.0118360503835033	Inf	0.024714828897338764	1	0	12	513	TSHR	thyroxine	Hyperthyroidism	1	0.2065493143772375	1	0.9771428571428571	0.9604765565062968	0.9868773085201327
D003865	Depressive Disorder, Major	5.445375351336667	0.9583237908493095	20.838568494178084	0.02777282378687577	3	29	15	793	DRD2	iloperidone, risperidone, ropinirole	Depressive Disorder, Major	0.09375	0.0324015512983662	0.24218154728387864	0.9814356435643564	0.9695971909257152	0.988717996783652
D051437	Renal Insufficiency	3.7553690531974544	0.9540043313707729	10.746072410416279	0.028905620977477675	4	42	76	2999	NFKB1, HTR4, FLT3	bortezomib, metoclopramide, sorafenib, sunitinib	Renal Insufficiency	0.08695652173913043	0.03433586789472589	0.2032466407411883	0.9752845528455285	0.9691754862633917	0.9802075979567401
D009216	Myopia	3.4328492054219972	0.950934966236587	10.224878061754588	0.02977009468297464	5	17	51	597	INSR, PDE5A	humalog, insulin, lantus, novolog, sildenafil	Refractive Errors, Myopia	0.22727272727272727	0.10123039985248514	0.4343995317522171	0.9212962962962963	0.8979933167683333	0.9396336745982767
D006937	Hypercholesterolemia	4.296418466379121	0.9367963384051028	15.758595716770788	0.03031497718872397	4	28	11	333	ADRB1, PPARG	betaxolol, carvedilol, nebivolol, rosiglitazone	Hypercholesterolemia	0.125	0.04970134387480074	0.2806830548165022	0.9680232558139535	0.9436564973827419	0.982052591728413
D011471	Prostatic Neoplasms	7.4283615193883294	0.7760781018876859	35.7068405902005	0.039408202777890165	2	11	41	1680	JAK1	ruxolitinib, tofacitinib	Prostatic Neoplasms	0.15384615384615385	0.04325817835808126	0.4223463101948253	0.9761766414875073	0.9678416164781669	0.9823906449382617
D009303	Nasopharyngeal Neoplasms	4.582354132202315	0.7017055110546297	22.501420432552848	0.05698293047407048	3	7	17	184	FLT4	pazopanib, sorafenib, sunitinib	Nasopharyngitis	0.3	0.10779126740630104	0.6032218525388545	0.9154228855721394	0.8687395595944201	0.9465250892781589
D020246	Venous Thrombosis	6.642384377749575	0.5757189324473247	48.894363886066934	0.06502740587785866	2	4	26	349	F2, FGG	argatroban, tranexamic	Thrombophlebitis, Venous Thrombosis	0.3333333333333333	0.09677141110578052	0.7000066848616079	0.9306666666666666	0.9003503758285032	0.952249022889566
D003424	Crohn Disease	2.442018729259927	0.7295047771695176	6.500592550904463	0.07268773715947378	5	25	2636	32187	PTGS2	diclofenac, ketoprofen, ketorolac, naproxen, tenoxicam	Crohn Disease	0.16666666666666666	0.0733654237184855	0.3356435050641603	0.9243029032535968	0.9214776720703015	0.9270345317981183
D014076	Tooth Diseases	30.412854640087566	0.3149170069998586	2842.8346767106855	0.07592407592407588	1	1	2	74	PTH1R	forteo	Tooth Diseases	0.5	0.09453120573423074	0.9054687942657692	0.9736842105263158	0.9090337890134195	0.9927533409248717
D008881	Migraine Disorders	Inf	0.5349074241019207	Inf	0.07692307692307691	3	4	0	8	SCN1A	fosphenytoin, lamotrigine, oxcarbazepine	Migraine Disorders	0.42857142857142855	0.1582198552514697	0.7495416354723426	1	0.6755924351161198	0.9999999999999999
D009293	Opioid-Related Disorders	3.452437447890747	0.6162272668232375	13.054861217383776	0.07825393159273901	3	12	110	1521	OPRM1	alfentanil, morphine, naloxone	Opioid-Related Disorders	0.2	0.07047549346981558	0.45185448715169346	0.9325567136725935	0.9193411571777782	0.9437394751288164
D006111	Graves Disease	17.284624159240796	0.2512933499250919	402.7978156966217	0.09427700699047957	1	2	4	148	TSHR	thyroxine	Graves Disease	0.3333333333333333	0.06149194472039624	0.7923403991979524	0.9736842105263158	0.9342962267936061	0.9897197641352359
D050723	Fractures, Bone	15.488517266780303	0.24429117672044226	323.3548184298793	0.09701690197750891	1	9	2	288	ESR1	tamoxifen	Fractures, Bone	0.1	0.017876213095072892	0.40415002679523837	0.993103448275862	0.9752073059031354	0.9981066748667493
D051436	Renal Insufficiency, Chronic	2.431747666944344	0.6054603312585837	7.177606406864928	0.10426374309245841	4	43	41	1073	EGFR, PDE3A	afatinib, anagrelide, erlotinib, vandetanib	Renal Insufficiency	0.0851063829787234	0.033594123457925555	0.19931537786964582	0.9631956912028725	0.950452387122378	0.9727554540760908
D000077195	Squamous Cell Carcinoma of Head and Neck	12.148355281986495	0.22418244993818243	143.82660315760384	0.10553558418406611	1	8	4	397	BRAF	vemurafenib	Squamous Cell Carcinoma of Head and Neck	0.1111111111111111	0.01989088763854492	0.4349997055766559	0.9900249376558603	0.9746361327197296	0.9961142473051116
D014069	Tonsillitis	5.8182105214583375	0.4123239972559673	81.9366713183647	0.10838813147224602	2	2	46	270	NFKB1, NPC1L1	bortezomib, ezetimibe	Tonsillitis, Pharyngitis	0.5	0.15003898915214955	0.8499610108478505	0.8544303797468354	0.8112893352747153	0.8890576454635646
D012893	Sleep Wake Disorders	1.488914058570162	0.8640005499639304	2.4354527238674146	0.11174425534203586	19	119	1935	18045	HTR1A, SLC6A3, DRD2, SCN1A	aripiprazole, bupropion, cabergoline, iloperidone, lamotrigine, lurasidone, methylphenidate, olanzapine, paliperidone, quetiapine, risperidone, ropinirole, rotigotine, stiripentol, valproate	Sleep Apnea Syndromes, Sleep Wake Disorders	0.13768115942028986	0.08994647196691005	0.20504103851538918	0.9031531531531531	0.8989744684825332	0.9071768429756142
D001794	Blood Pressure	0.21841690571498906	0.005344295574003087	1.3177835714298096	0.11461904377153537	1	58	58	734	INSR	insulin	Blood Pressure	0.01694915254237288	0.002998233918355644	0.08995725964142294	0.9267676767676768	0.9064911460116917	0.9429242651956116
D009765	Obesity	0.5855924385030004	0.27538874532974755	1.1058858986906859	0.11679159938445519	10	164	3663	35178	HTR1A, SLC6A4, NR3C1, OPRM1, GRIA1	aripiprazole, citalopram, clobetasone, fluvoxamine, methylprednisolone, naltrexone, paroxetine, prednisone, quetiapine, topiramate	Obesity	0.05747126436781609	0.03151344500121962	0.10254673972056623	0.9056924384027187	0.9027457108188173	0.9085589262050965
D001416	Back Pain	5.5288055812063055	0.38617189419901204	79.05502875906988	0.11917680697203492	2	2	28	157	HTR7	lurasidone, paliperidone	Back Pain	0.5	0.15003898915214955	0.8499610108478505	0.8486486486486486	0.789950712610633	0.8931619937071366
D016471	Ovarian Hyperstimulation Syndrome	Inf	0.16666662597656273	Inf	0.13333333333333333	1	0	1	13	FSHR	metrodin	Ovarian Hyperstimulation Syndrome	1	0.2065493143772375	1	0.9285714285714286	0.6853129557584889	0.9872777847521091
D010024	Osteoporosis	8.367881910139278	0.17401825117373523	74.44518485879	0.13401748962938986	1	6	19	960	ESR1	tamoxifen	Osteoporosis	0.14285714285714285	0.02567962434474356	0.5131278292743188	0.9805924412665986	0.9698873051377186	0.9875407638095363
D001847	Bone Diseases	6.451436524206726	0.1355437450020289	58.25941489358375	0.1682563613135695	1	5	134	4327	PTGFR	travoprost	Bone Diseases	0.16666666666666666	0.030053369748306673	0.5635028221864702	0.9699618919524771	0.964534463307162	0.9745806292828232
D002294	Carcinoma, Squamous Cell	3.2704027706452026	0.5544337260890021	18.216198685361103	0.19214271991032844	4	11	5	46	BRAF, PDGFRA, KDR	dabrafenib, regorafenib, sorafenib, vemurafenib	Carcinoma, Squamous Cell	0.26666666666666666	0.10897453325692374	0.5195043405598055	0.9019607843137255	0.7902176531891915	0.9573919268923814
D000749	Anemia, Megaloblastic	5.365892032398455	0.1162022979941007	43.54158158561591	0.19331140469375296	1	7	36	1356	DHFR	methotrexate	Anemia, Megaloblastic	0.125	0.02241749145005667	0.4708881822128534	0.9741379310344828	0.9644047663556389	0.9812613704814412
D006402	Hematologic Diseases	1.743831767907057	0.677150011023763	3.7783717395775107	0.19801858412562118	7	77	1330	25513	RXRA, NFKB1, SLC12A2, IFNAR2, HTR4, FLT3, CRBN	bexarotene, bortezomib, bumetanide, k779, metoclopramide, sunitinib, thalidomide	Hematologic Diseases	0.08333333333333333	0.040952550622407165	0.16215722305647604	0.9504526319710912	0.9477915429126617	0.9529848123652337
