dse_uid	drug_name	se_mesh_id	se_mesh_term	indication_mesh_id	indication_mesh_term	se_indic_similarity	gene	assoc_mesh_id	assoc_mesh_term	se_assoc_similarity	arow	assoc_source	assoc_info	assoc_orig	target_or	target_p	fdr	target_enriched	observed	genetic_insight	numfreq	wordfreq	wordrank	placebo	n_se	n_drugs	max_severity	sim_assoc	sim_indic	geninsight	wordrank_ordinal
isradipine-D013610	isradipine	D013610	Tachycardia	D006973	Hypertension	0.421	CACNA1C	D013610	Tachycardia	1	72041	OTG		Resting heart rate	5.3303363643468975	0.021736377971714765	0.17400153332148202	FALSE	TRUE	both	0.015			TRUE	84	558	0.73	TRUE	FALSE	TRUE	
ivabradine-D013610	ivabradine	D013610	Tachycardia	D006333	Heart Failure	0.445	HCN4	D013610	Tachycardia	1	220216	OTG		Heart rate	1	1		FALSE	FALSE	both					47	558	0.73	TRUE	FALSE	TRUE	
lercanidipine-D013610	lercanidipine	D013610	Tachycardia	D006973	Hypertension	0.421	CACNA1C	D013610	Tachycardia	1	72041	OTG		Resting heart rate	5.3303363643468975	0.021736377971714765	0.17400153332148202	FALSE	TRUE	both				TRUE	139	558	0.73	TRUE	FALSE	TRUE	
mebendazole-D013610	mebendazole	D013610	Tachycardia	D006373	Helminthiasis	0	ACHE	D013610	Tachycardia	1	6854	PICCOLO	gtex-v6p-adipose-subcutaneous	heart_rate	0.9412499531562089	0.9999999999999999	1	FALSE	FALSE	both					11	558	0.73	TRUE	FALSE	TRUE	
mexiletine-D013610	mexiletine	D013610	Tachycardia	D009222	Myotonia	0.332	SCN5A	D013610	Tachycardia	1	439116	OTG		Electrocardiographic conduction measures [QRS duration - CHARGE]	4.331216741446916	0.06417399910837382	0.2912911825588876	FALSE	FALSE	both					84	558	0.73	TRUE	FALSE	TRUE	
milrinone-D013610	milrinone	D013610	Tachycardia	D006333	Heart Failure	0.445	PDE3A	D013610	Tachycardia	1	361897	OTG		Resting heart rate	1.8876121337442278	1	1	FALSE	FALSE	both					19	558	0.73	TRUE	FALSE	TRUE	
neostigmine-D013610	neostigmine	D013610	Tachycardia	D009140	Musculoskeletal Diseases	0.26	ACHE	D013610	Tachycardia	1	6854	PICCOLO	gtex-v6p-adipose-subcutaneous	heart_rate	0.9412499531562089	0.9999999999999999	1	FALSE	TRUE	both					65	558	0.73	TRUE	FALSE	TRUE	
nicardipine-D013610	nicardipine	D013610	Tachycardia	D000787	Angina Pectoris	0.441	CACNA1C	D013610	Tachycardia	1	72041	OTG		Resting heart rate	5.3303363643468975	0.021736377971714765	0.17400153332148202	FALSE	TRUE	both	0.04			TRUE	83	558	0.73	TRUE	FALSE	TRUE	
nifedipine-D013610	nifedipine	D013610	Tachycardia	D000787	Angina Pectoris	0.441	CACNA1C	D013610	Tachycardia	1	72041	OTG		Resting heart rate	5.3303363643468975	0.021736377971714765	0.17400153332148202	FALSE	TRUE	both	0.012			FALSE	193	558	0.73	TRUE	FALSE	TRUE	
nimodipine-D013610	nimodipine	D013610	Tachycardia	D020521	Stroke	0.409	CACNA1C	D013610	Tachycardia	1	72041	OTG		Resting heart rate	5.3303363643468975	0.021736377971714765	0.17400153332148202	FALSE	TRUE	both	0			TRUE	52	558	0.73	TRUE	FALSE	TRUE	
nisoldipine-D013610	nisoldipine	D013610	Tachycardia	D000787	Angina Pectoris	0.441	CACNA1C	D013610	Tachycardia	1	72041	OTG		Resting heart rate	5.3303363643468975	0.021736377971714765	0.17400153332148202	FALSE	TRUE	both					129	558	0.73	TRUE	FALSE	TRUE	
olanzapine-D013610	olanzapine	D013610	Tachycardia	D003863	Depression	0.033	CHRM2	D013610	Tachycardia	1	103351	OTG		Heart rate	Inf	0.06195878589885401	0.2865959248737045	FALSE	TRUE	both	0.04			TRUE	345	558	0.73	TRUE	FALSE	TRUE	
oxybutynin-D013610	oxybutynin	D013610	Tachycardia	D014549	Urinary Incontinence	0.358	CHRM2	D013610	Tachycardia	1	103351	OTG		Heart rate	Inf	0.06195878589885401	0.2865959248737045	FALSE	TRUE	both				FALSE	156	558	0.73	TRUE	FALSE	TRUE	
physostigmine-D013610	physostigmine	D013610	Tachycardia	D000544	Alzheimer Disease	0.214	ACHE	D013610	Tachycardia	1	6854	PICCOLO	gtex-v6p-adipose-subcutaneous	heart_rate	0.9412499531562089	0.9999999999999999	1	FALSE	FALSE	both					6	558	0.73	TRUE	FALSE	TRUE	
pinaverium-D013610	pinaverium	D013610	Tachycardia	D043183	Irritable Bowel Syndrome	0.22	CACNA1C	D013610	Tachycardia	1	72041	OTG		Resting heart rate	5.3303363643468975	0.021736377971714765	0.17400153332148202	FALSE	FALSE	both					14	558	0.73	TRUE	FALSE	TRUE	
procainamide-D013610	procainamide	D013610	Tachycardia	D001145	Arrhythmias, Cardiac	0.8	SCN5A	D013610	Tachycardia	1	439116	OTG		Electrocardiographic conduction measures [QRS duration - CHARGE]	4.331216741446916	0.06417399910837382	0.2912911825588876	FALSE	TRUE	both					58	558	0.73	TRUE	FALSE	TRUE	
propafenone-D013610	propafenone	D013610	Tachycardia	D001281	Atrial Fibrillation	0.756	SCN5A	D013610	Tachycardia	1	439116	OTG		Electrocardiographic conduction measures [QRS duration - CHARGE]	4.331216741446916	0.06417399910837382	0.2912911825588876	FALSE	TRUE	both				FALSE	245	558	0.73	TRUE	FALSE	TRUE	
riluzole-D013610	riluzole	D013610	Tachycardia	D000690	Amyotrophic Lateral Sclerosis	0.201	SCN5A	D013610	Tachycardia	1	439116	OTG		Electrocardiographic conduction measures [QRS duration - CHARGE]	4.331216741446916	0.06417399910837382	0.2912911825588876	FALSE	TRUE	both	0.026000000000000002			TRUE	328	558	0.73	TRUE	FALSE	TRUE	
rivastigmine-D013610	rivastigmine	D013610	Tachycardia	D003704	Dementia	0.219	ACHE	D013610	Tachycardia	1	6854	PICCOLO	gtex-v6p-adipose-subcutaneous	heart_rate	0.9412499531562089	0.9999999999999999	1	FALSE	TRUE	both				FALSE	355	558	0.73	TRUE	FALSE	TRUE	
sotalol-D013610	sotalol	D013610	Tachycardia	D001281	Atrial Fibrillation	0.756	KCNH2	D013610	Tachycardia	1	260207	OTG		Electrocardiographic traits [QT interval]	1.8876121337442278	1	1	FALSE	TRUE	both					104	558	0.73	TRUE	FALSE	TRUE	
tolterodine-D013610	tolterodine	D013610	Tachycardia	D014549	Urinary Incontinence	0.358	CHRM2	D013610	Tachycardia	1	103351	OTG		Heart rate	Inf	0.06195878589885401	0.2865959248737045	FALSE	TRUE	both				FALSE	41	558	0.73	TRUE	FALSE	TRUE	
topiramate-D013610	topiramate	D013610	Tachycardia	D008881	Migraine Disorders	0.216	SCN5A	D013610	Tachycardia	1	439116	OTG		Electrocardiographic conduction measures [QRS duration - CHARGE]	4.331216741446916	0.06417399910837382	0.2912911825588876	FALSE	TRUE	both	0.02			FALSE	347	558	0.73	TRUE	FALSE	TRUE	
vernakalant-D013610	vernakalant	D013610	Tachycardia	D001281	Atrial Fibrillation	0.756	SCN5A	D013610	Tachycardia	1	439116	OTG		Electrocardiographic conduction measures [QRS duration - CHARGE]	4.331216741446916	0.06417399910837382	0.2912911825588876	FALSE	TRUE	both					52	558	0.73	TRUE	FALSE	TRUE	
zyprexa-D013610	zyprexa	D013610	Tachycardia	D003863	Depression	0.033	CHRM2	D013610	Tachycardia	1	103351	OTG		Heart rate	Inf	0.06195878589885401	0.2865959248737045	FALSE	TRUE	both					103	558	0.73	TRUE	FALSE	TRUE	
