se_mesh_id	se_mesh_term	or	or_l95	or_u95	fisher_p	sim_obs	sim_not	dis_obs	dis_not	genes	drugs	assocs	ppv	ppv_l95	ppv_u95	npv	npv_l95	npv_u95
D058729	Peripheral Arterial Disease	35.648117419334305	0.5914456236184501	544.1066250231951	0.04176980209456302	1	5	3	558	EDNRA	sitaxsentan	Peripheral Arterial Disease	0.16666666666666666	0.030053369748306673	0.5635028221864702	0.9946524064171123	0.9843968960098283	0.9981797037297842
D019115	Fasciitis, Necrotizing	38.12709203986441	0.5906972184008972	809.550376946514	0.04180640370640053	1	7	2	557	KDR	sunitinib	Fasciitis	0.125	0.02241749145005667	0.4708881822128534	0.9964221824686941	0.9870498015337672	0.9990182844293315
D013921	Thrombocytopenia	1.9523188056103742	1.0087567905010075	3.888014330659112	0.04429921116983769	29	17	240	275	KDR, PPARG, NFKB1, EDNRA, KIT, TYMS, RRM1, PDGFRA, OPRD1, UGCG, FGFR2, JAK2	axitinib, bezafibrate, bortezomib, bosentan, cabozantinib, capecitabine, clofarabine, dasatinib, fentanyl, fludarabine, hydrocodone, hydroxyurea, imatinib, methadone, methotrexate, miglustat, morphine, nilotinib, pazopanib, pemetrexed, ponatinib, raltitrexed, regorafenib, rosiglitazone, ruxolitinib, sitaxsentan, sorafenib, sunitinib, vandetanib	Thrombocytopenia	0.6304347826086957	0.4860009642338971	0.7547624540916037	0.5339805825242718	0.49080471957998434	0.576653266679544
D007958	Leukocyte Count	2.88937092176709	0.8149889985676495	8.328892318711395	0.04998698219938547	5	28	31	503	KIT, FLT3	axitinib, imatinib, pazopanib, ponatinib, sunitinib	Leukocyte Count	0.15151515151515152	0.06650457281607566	0.30919875880442116	0.9419475655430711	0.9187778954072214	0.9588041359871928
D007037	Hypothyroidism	2.954354114145158	0.8130988525867093	8.892812426707899	0.05008476280945872	5	16	52	493	NFKB1, FLT3, INSR	bortezomib, cabozantinib, insulin, sorafenib, sunitinib	Hypothyroidism	0.23809523809523808	0.1062801302263647	0.45091173682950747	0.9045871559633027	0.8770143889641852	0.9264963387923967
D001219	Aspartate Aminotransferases	1.9589041010498027	0.9213752302094622	4.053325659939754	0.0559702697198876	15	23	132	397	ADRB1, CYP19A1, PPARG, AXL, ANPEP, MTOR, MTTP, RAF1	acebutolol, anastrozole, atenolol, betaxolol, bezafibrate, cabozantinib, carvedilol, doxorubicin, everolimus, lomitapide, nebivolol, rapamycin, regorafenib, sorafenib, temsirolimus	Aspartate Aminotransferases	0.39473684210526316	0.25598075748160104	0.5528213200395745	0.7504725897920604	0.7118794048224439	0.7854542684741281
D057049	Thrombotic Microangiopathies	7.698105984314458	0.6275869075102872	68.98381569426668	0.05610476898520161	2	44	3	512	KIT, PDGFRA	pazopanib, sunitinib	Thrombocytopenia	0.043478260869565216	0.012005445598556616	0.14532259026219066	0.9941747572815534	0.9830149022668048	0.9980169550503352
D011471	Prostatic Neoplasms	6.290392199207794	0.6249237165803744	32.96427642703536	0.0572510281361818	2	11	15	523	JAK1	ruxolitinib, tofacitinib	Prostatic Neoplasms	0.15384615384615385	0.04325817835808126	0.4223463101948253	0.9721189591078067	0.9545114177228016	0.9830321971671528
D009497	Neurotic Disorders	2.686661103868294	0.7611915393999613	7.69500560799734	0.06226278333019808	5	30	31	501	CACNA2D1, DRD2	gabapentin, olanzapine, pergolide, pregabalin, ropinirole	Neurotic Disorders	0.14285714285714285	0.06260231079433715	0.29375554086595146	0.9417293233082706	0.9184769913100223	0.9586481214694158
D015179	Colorectal Neoplasms	31.031926582464667	0.38373482691654764	2446.168850119119	0.06319709702062644	1	17	1	542	MTOR	everolimus	Colorectal Neoplasms	0.05555555555555555	0.009875190978303066	0.2575730078187259	0.998158379373849	0.9896429854015267	0.9996748347335972
D020521	Stroke	4.1966431047442025	0.7004688036670885	29.026110754668085	0.06450397996933385	4	3	133	420	PDE3A, EDNRA, FGA	anagrelide, bosentan, sitaxsentan, tranexamic	Stroke	0.5714285714285714	0.25045836452765724	0.8417801447485301	0.759493670886076	0.7221600958937723	0.7932469296675474
D006980	Hyperthyroidism	Inf	0.36729035664648346	Inf	0.06525573192239864	1	0	36	530	TSHR	thyroxine	Hyperthyroidism	1	0.2065493143772375	1	0.9363957597173145	0.9132015742593629	0.9537062162379264
D003865	Depressive Disorder, Major	3.7452719666725365	0.654085983555974	14.531992065056816	0.06816722876212311	3	29	14	509	DRD2	iloperidone, risperidone, ropinirole	Depressive Disorder, Major	0.09375	0.0324015512983662	0.24218154728387864	0.9732313575525813	0.9555728811432903	0.9839887112720647
D000749	Anemia, Megaloblastic	19.952694329579014	0.3508312641576644	278.03174464027705	0.06911786708099359	1	3	9	552	DHFR	methotrexate	Anemia, Megaloblastic	0.25	0.04558726080970059	0.699358157417598	0.983957219251337	0.9697943781761686	0.9915373221096145
D014069	Tonsillitis	28.034887549057768	0.3478979609859495	2210.599612615259	0.06936264886795014	1	1	19	546	NFKB1	bortezomib	Tonsillitis	0.5	0.09453120573423074	0.9054687942657692	0.9663716814159292	0.9480769641135985	0.9783674639921892
D006528	Carcinoma, Hepatocellular	5.443969449801967	0.549980553874376	27.606428065566	0.07116703497870626	2	14	14	537	MTOR, FLT4	everolimus, sorafenib	Carcinoma, Hepatocellular	0.125	0.03497748774324048	0.3602282726575869	0.9745916515426497	0.957806085224937	0.9848055233445224
D002761	Cholangitis	15.516632450015804	0.2932177335620261	169.8449607942953	0.0820754418478623	1	5	7	554	PDGFB	sorafenib	Cholangitis	0.16666666666666666	0.030053369748306673	0.5635028221864702	0.9875222816399287	0.9744704054157814	0.993942928021278
D001049	Apnea	Inf	0.2646153646575356	Inf	0.08833922261484102	1	0	49	516	BCHE	rivastigmine	Apnea	1	0.2065493143772375	1	0.9132743362831859	0.8871882500333654	0.9337786340755585
D010003	Osteoarthritis	2.5288881278582926	0.6894099075684496	8.956261941671627	0.10817135907555342	6	7	137	405	GABRA3	alprazolam, clobazam, clonazepam, diazepam, midazolam, temazepam	Osteoarthritis	0.46153846153846156	0.2320606780953831	0.7085620428549398	0.7472324723247232	0.7089921528394577	0.7819929045781697
D006331	Heart Diseases	1.9287311994949317	0.8228374183618812	4.689976392006684	0.11275649331095128	16	11	232	308	EDNRA, CACNA1C, PDE3A, CHRM2, CPS1	ambrisentan, amlodipine, anagrelide, bepridil, bosentan, cilostazol, diltiazem, ipratropium, isradipine, lercanidipine, n-carbamylglutamate, nifedipine, nimodipine, olanzapine, oxybutynin, sitaxsentan	Heart Diseases	0.5925925925925926	0.40726700968064694	0.7548524292560443	0.5703703703703704	0.5282661019772824	0.6114805075673522
D003863	Depression	2.082083348264785	0.789151804099206	5.703228959955629	0.11291759005674558	12	9	204	319	DRD2, GABBR1	aripiprazole, asenapine, baclofen, cabergoline, metoclopramide, paliperidone, pergolide, pimozide, quetiapine, risperidone, ropinirole, rotigotine	Depression	0.5714285714285714	0.3654655436930671	0.7553003107462404	0.609942638623327	0.5674831016882055	0.6507988844284932
D001249	Asthma	0.5947723286704638	0.29001324974315357	1.1387327253740074	0.11575092579318438	13	64	121	354	PDE3A, CA2, PDGFRA, ADRB2, CHRM3, HTR4, SLC6A1	anagrelide, brinzolamide, cilostazol, dasatinib, indacaterol, ipratropium, metoclopramide, olanzapine, oxybutynin, sotalol, tegaserod, tiagabine, timolol	Asthma	0.16883116883116883	0.10140668708276011	0.26772889329911176	0.7452631578947368	0.7042200888546827	0.7823710274906727
D059289	Vascular Stiffness	0.3774417259004845	0.07279848483363206	1.2357466226303964	0.12377187590020479	3	35	98	431	OPRK1, INSR	fentanyl, insulin, naltrexone	Vascular Stiffness	0.07894736842105263	0.02721459550698771	0.2079937145777145	0.8147448015122873	0.7794105614027648	0.8455408091925504
D002311	Cardiomyopathy, Dilated	9.667191682346154	0.18558608716124747	106.65932704512353	0.12588045246263518	1	14	4	548	SCN5A	riluzole	Cardiomyopathy, Dilated	0.06666666666666667	0.011866895493268581	0.2981652987378002	0.9927536231884058	0.9815178155361104	0.9971785220026228
D007964	Leukocytosis	0.3920468009845503	0.07612782017287205	1.2679008814416	0.1298895010869171	3	51	67	446	NFKB1, PDGFRA, BCL2	bortezomib, nilotinib, sodium	Lymphocytosis	0.05555555555555555	0.019073268454690918	0.15107214318166143	0.8693957115009746	0.8374699823847981	0.8958303237957187
D014693	Ventricular Fibrillation	4.01566683790739	0.3732932200345744	25.320958628940357	0.13091727409378592	2	5	50	504	SCN5A	procainamide, riluzole	Ventricular Fibrillation	0.2857142857142857	0.08221892400405677	0.6410655481673806	0.9097472924187726	0.8829803937343377	0.9308709126203024
D012893	Sleep Wake Disorders	1.6520283946775187	0.7855860853034404	3.3189197983755205	0.13793001097210084	14	32	109	412	HTR1A, SLC6A3, DRD2, SCN1A	aripiprazole, bupropion, cabergoline, lamotrigine, lurasidone, methylphenidate, olanzapine, paliperidone, quetiapine, risperidone, ropinirole, rotigotine, stiripentol, valproate	Sleep Wake Disorders	0.30434782608695654	0.19079840802767242	0.4480564644840765	0.7907869481765835	0.753795261446703	0.8235219357900273
D020178	Sleep Disorders, Circadian Rhythm	12.951657004314159	0.1628422020037189	1020.5486623937783	0.13974795959848646	1	40	1	524	GRIA1	topiramate	Chronobiology Disorders	0.024390243902439025	0.004318531568912407	0.12595062055774228	0.9980952380952381	0.9892905507643346	0.9996636835846132
D001007	Anxiety	1.9100653664330243	0.837406669797492	4.762999642597351	0.1433309015256337	24	9	311	223	DRD2, ESR1	amisulpride, apomorphine, aripiprazole, asenapine, cabergoline, conjugated, domperidone, estramustine, ici, lisuride, loxapine, lurasidone, metoclopramide, olanzapine, paliperidone, pergolide, prochlorperazine, quetiapine, risperidone, ropinirole, tamoxifen, ziprasidone, zuclopenthixol, zyprexa	Anxiety	0.7272727272727273	0.5578244099712737	0.8493255911457935	0.41760299625468167	0.3765088276415466	0.4598741834544101
D010048	Ovarian Cysts	8.485431751509928	0.15592166084865847	110.84290914898341	0.14725755807404872	1	3	21	540	INSR	insulin	Polycystic Ovary Syndrome	0.25	0.04558726080970059	0.699358157417598	0.9625668449197861	0.9434538621904747	0.9753880391876494
D007006	Hypogonadism	7.5389162703557995	0.15286945955453507	70.32350938732871	0.15061115819284915	1	12	6	548	GNRHR	supremon	Hypogonadism	0.07692307692307693	0.013710421242556586	0.33313950921099583	0.9891696750902527	0.9765750455567506	0.9950271748049562
D006970	Disorders of Excessive Somnolence	7.407376286930255	0.13669583176557779	96.48694179669617	0.16572411962950193	1	3	24	538	HTR7	lurasidone	Narcolepsy	0.25	0.04558726080970059	0.699358157417598	0.9572953736654805	0.937244555344495	0.9711370981866193
D009304	Nasopharyngitis	3.3927025226168963	0.3850892416730858	40.99772700900221	0.17377230256868842	3	2	172	390	FLT4	pazopanib, sorafenib, sunitinib	Nasopharyngeal Neoplasms	0.6	0.230724281276013	0.882379225767352	0.693950177935943	0.6546388642110627	0.7306280627729508
D008268	Macular Degeneration	6.031290645837005	0.12619094441807818	51.81186023647889	0.17921838737927834	1	10	9	547	VEGFA	pegaptanib	Macular Degeneration	0.09090909090909091	0.016232172885884823	0.37735843645159556	0.9838129496402878	0.9695253342174249	0.9914610156204325
D012135	Respiratory Sounds	Inf	0.11550902024187794	Inf	0.1816578483245166	1	0	102	464	BCL2	sodium	Snoring	1	0.2065493143772375	1	0.8197879858657244	0.7860003523453335	0.8492640609340567
D014076	Tooth Diseases	9.385716894643362	0.11837524964564183	739.2987047656271	0.18474894211054388	1	1	54	511	PTH1R	forteo	Tooth Diseases	0.5	0.09453120573423074	0.9054687942657692	0.904424778761062	0.8773789710701951	0.9260083223725848
D005764	Gastroesophageal Reflux	2.0892135747583205	0.5625164131383379	6.5654328185056565	0.18538647043307868	5	12	90	452	PDE4B, OPRD1	apremilast, fentanyl, hydrocodone, morphine, roflumilast	Gastroesophageal Reflux	0.29411764705882354	0.1327998961029523	0.5313311006653983	0.8339483394833949	0.8002917073836919	0.862904526889372
D006327	Heart Block	2.8750284013763228	0.2955969663152486	14.260424033949521	0.1890062940388234	2	10	36	519	SCN5A	disopyramide, propafenone	Bundle-Branch Block	0.16666666666666666	0.04696514218385383	0.44803086225297334	0.9351351351351351	0.9115065906673134	0.9527814688107002
D011655	Pulmonary Embolism	Inf	0.10982092614911543	Inf	0.18928571428571486	1	0	105	454	FGA	tranexamic	Pulmonary Embolism	1	0.2065493143772375	1	0.8121645796064401	0.7776962208784696	0.8423718187631906
D050171	Dyslipidemias	2.2642075794004186	0.3903219139944538	9.10475829816899	0.19475473346076316	3	64	10	484	KIT, HMGCR, DPP4	nilotinib, pravastatin, saxagliptin	Dyslipidemias	0.04477611940298507	0.015343975122038661	0.12357833089093759	0.979757085020243	0.9631423374076443	0.9889680013392117
D001714	Bipolar Disorder	1.679450215350611	0.6013159038633492	4.074599365925696	0.2096130207689907	7	39	49	459	DRD2, SCN2A, GRIA1	iloperidone, metoclopramide, oxcarbazepine, paliperidone, pergolide, ropinirole, topiramate	Bipolar Disorder	0.15217391304347827	0.07572282227805469	0.2822413955206099	0.9035433070866141	0.8747606225744952	0.9262686667383683
D010300	Parkinson Disease	4.722217730783178	0.0999882312983556	39.652659884343485	0.2199610627394626	1	14	8	532	SCN2A	lamotrigine	Parkinson Disease	0.06666666666666667	0.011866895493268581	0.2981652987378002	0.9851851851851852	0.9710416896317376	0.9924744077549531
D013922	Thrombocytosis	5.146487449255864	0.09581468788618401	65.941740836759	0.22588121303326095	1	3	34	528	MPL	su5416	Thrombocythemia, Essential	0.25	0.04558726080970059	0.699358157417598	0.9395017793594306	0.9166491293331863	0.956386934566367
D001416	Back Pain	Inf	0.19398643940580312	Inf	0.2416848953951435	2	0	277	288	HTR7	lurasidone, paliperidone	Back Pain	1	0.3423802275066532	1	0.5097345132743363	0.46858780322682736	0.550749746505931
D001146	Arrhythmia, Sinus	4.0935972304660675	0.08829892181727188	32.79792884058921	0.24505079607897426	1	11	12	543	SCN5A	propafenone	Sick Sinus Syndrome	0.08333333333333333	0.01486509440491714	0.3538799111411169	0.9783783783783784	0.962590975856213	0.9875890646879387
D006042	Goiter	4.26173858783207	0.08426470211637341	44.743638273344736	0.2528755231903688	1	4	31	531	INSR	insulin	Goiter	0.2	0.03622410863243014	0.6244653702374747	0.9448398576512456	0.9227688216065488	0.9608709191824728
D004700	Endocrine System Diseases	1.4154642490853313	0.7461537260406343	2.584895242980832	0.2676269257546966	18	91	56	401	NR3C1, RXRA, COMT, OPRM1, INSR, PDGFRA, VDR, FGFR1, PDE4B, RAF1	acth(1-39, bexarotene, budesonide, clobetasol, clobetasone, entacapone, fentanyl, insulin, mometasone, nilotinib, paricalcitol, pazopanib, prednisone, regorafenib, roflumilast, sorafenib, sunitinib, tramadol	Endocrine System Diseases	0.1651376146788991	0.10708689548802482	0.24598775665735806	0.8774617067833698	0.8442124249282446	0.9044181363994285
D019964	Mood Disorders	3.7063080785178917	0.07772039462441648	32.49446101581002	0.271942275211204	1	24	6	536	DRD2	risperidone	Mood Disorders	0.04	0.007096233501987256	0.19544063736193731	0.988929889298893	0.9760610455741462	0.9949168664831023
D001794	Blood Pressure	4.343306746177358	0.07269524897173908	84.41551668445717	0.28125596973278255	1	58	2	506	INSR	insulin	Blood Pressure	0.01694915254237288	0.002998233918355644	0.08995725964142294	0.9960629921259843	0.9857602412148048	0.9989196656478372
D008223	Lymphoma	3.4734368681248173	0.07404355966425516	29.01869339996934	0.2835073712659515	1	7	22	537	JAK1	tofacitinib	Lymphoma	0.125	0.02241749145005667	0.4708881822128534	0.960644007155635	0.9411317259902373	0.9738683898133587
D006967	Hypersensitivity	Inf	0.3232883763222691	Inf	0.3083014475309775	4	0	374	185	PDE4A, NFKB1, IL12B	apremilast, bortezomib, roflumilast, ustekinumab	Hypersensitivity	1	0.5101091635454028	1	0.33094812164579607	0.29321029358707834	0.370993547409272
D000437	Alcoholism	2.903200933498877	0.06224753275975656	24.012796580154323	0.3262986125134476	1	26	7	530	DRD2	aripiprazole	Alcoholism	0.037037037037037035	0.00656814598078513	0.18283465933575843	0.9869646182495344	0.9733400432570529	0.9936716224913577
D003920	Diabetes Mellitus	1.371941769966194	0.6223336380661457	2.8451011170257523	0.34898455189968713	12	32	112	410	ADRA2A, PDE3A, GLP1R, ABCC8, INSR, VEGFA, PPARG	brimonidine, cilostazol, exenatide, glimepiride, humalog, insulin, lantus, mirtazapine, novolog, pegaptanib, pioglitazone, rosiglitazone	Diabetes Mellitus	0.2727272727272727	0.16346381623843376	0.41848873092451183	0.7854406130268199	0.7482060652123065	0.8185046705070208
D008232	Lymphoproliferative Disorders	1.791841174928147	0.18174194244309763	9.24155749077067	0.3563614690113927	2	68	8	488	S1PR4, PPIA	fty720, v	Lymphoproliferative Disorders	0.02857142857142857	0.007870611945441225	0.09832256118423899	0.9838709677419355	0.9684994843016518	0.9918050113128031
D001281	Atrial Fibrillation	0.5638882940727796	0.13951894988951966	1.6865312610160181	0.35886353717468994	4	24	121	409	SCN5A, HCN4	amiodarone, ivabradine, procainamide, riluzole	Atrial Fibrillation	0.14285714285714285	0.05699005319749392	0.31489802163525293	0.7716981132075472	0.7340835970373674	0.8054024156005778
D008881	Migraine Disorders	2.3782254708103694	0.34393858444411524	14.253649598964397	0.3680278305560701	3	4	130	413	SCN1A	fosphenytoin, lamotrigine, oxcarbazepine	Migraine Disorders	0.42857142857142855	0.1582198552514697	0.7495416354723426	0.7605893186003683	0.7229464148171613	0.7945710400779218
D012559	Schizophrenia	2.4721730858406206	0.051159154011258284	22.854834588946524	0.37773030403017	1	41	5	508	DRD2	pimozide	Schizophrenia	0.023809523809523808	0.004215404134432506	0.12321201573766641	0.9902534113060428	0.9773892830441356	0.9958298568207721
D007249	Inflammation	1.543831331676782	0.43761264380332804	4.441669755654909	0.3801485825490232	5	19	78	458	KIT, VEGFA, RARB, CHRNB2	cabozantinib, dasatinib, pegaptanib, tazarotene, varenicline	Inflammation	0.20833333333333334	0.09244825352851854	0.40470453253188654	0.8544776119402985	0.8221023134204244	0.8818080546904754
D020246	Venous Thrombosis	2.8704933622901523	0.048200762539792975	55.67355867163936	0.3843150875970598	1	2	82	472	FGG	tranexamic	Venous Thrombosis	0.3333333333333333	0.06149194472039624	0.7923403991979524	0.851985559566787	0.8199934756489312	0.8791298932460239
D013924	Thrombophlebitis	2.790711606793187	0.046867082127601156	54.12315472024099	0.3920920907991937	1	2	84	470	F2	argatroban	Venous Thrombosis	0.3333333333333333	0.06149194472039624	0.7923403991979524	0.8483754512635379	0.8161172631307723	0.8758356096729523
D001523	Mental Disorders	0.5331890457299366	0.11855845618599012	1.9382029961976828	0.40079455176007384	4	9	252	302	CACNA1C	amlodipine, isradipine, lercanidipine, nifedipine	Mental Disorders	0.3076923076923077	0.12680703655710515	0.5763065681945095	0.5451263537906137	0.503491923955588	0.5861392771847908
D000799	Angioedema	Inf	0.032862097762496385	Inf	0.4382826475849716	1	0	244	314	PLG	trans	Angioedema	1	0.2065493143772375	1	0.5627240143369175	0.5212756430018695	0.6033146642832675
D007565	Jaundice	2.0518652796464174	0.3777089201178064	11.147044279291014	0.4492049661832842	4	4	183	376	RXRA, LPL, ABCC9, FGFR2	bexarotene, gemfibrozil, nicorandil, ponatinib	Hyperbilirubinemia	0.5	0.21521606221387762	0.7847839377861224	0.6726296958855098	0.632666531715783	0.710236424303817
D006402	Hematologic Diseases	0.6935948904966133	0.2570144285017906	1.6033008437127754	0.45538542242659913	7	77	56	427	RXRA, NFKB1, SLC12A2, IFNAR2, HTR4, FLT3, CRBN	bexarotene, bortezomib, bumetanide, k779, metoclopramide, sunitinib, thalidomide	Hematologic Diseases	0.08333333333333333	0.040952550622407165	0.16215722305647604	0.8840579710144928	0.8524274752400436	0.9096275906918843
D008107	Liver Diseases	0.5304388905674506	0.1021387050106043	1.7399224507487194	0.4617387240459109	3	62	42	460	CYP19A1, PPARG, BCL2	exemestane, pioglitazone, sodium	Liver Diseases	0.046153846153846156	0.015819840413512577	0.12713847263338826	0.9163346613545816	0.8888375917592487	0.9375082775068143
