drug_name	gene	indication_mesh_id	indication_mesh_term
nateglinide	ABCC8	D003924	Diabetes Mellitus, Type 2
nateglinide	KCNJ11	D003924	Diabetes Mellitus, Type 2
nebivolol	ADRB1	D006973	Hypertension
nicorandil	ABCC9	D006973	Hypertension
nilutamide	AR	D011471	Prostatic Neoplasms
novolog	INSR	D003924	Diabetes Mellitus, Type 2
ntbc	HPD	D020176	Tyrosinemias
olanzapine	CHRM4	D011618	Psychotic Disorders
olanzapine	CHRM3	D012559	Schizophrenia
olanzapine	DRD2	D003863	Depression
olanzapine	DRD2	D012559	Schizophrenia
olanzapine	DRD2	D011618	Psychotic Disorders
olanzapine	DRD2	D001714	Bipolar Disorder
olanzapine	CHRM4	D012559	Schizophrenia
olodaterol	ADRB2	D029424	Pulmonary Disease, Chronic Obstructive
olsalazine	PTGS2	D003093	Colitis, Ulcerative
oxazepam	GABRA1	D001008	Anxiety Disorders
oxcarbazepine	SCN1A	D004828	Epilepsies, Partial
oxcarbazepine	SCN1A	D004827	Epilepsy
paliperidone	DRD2	D012559	Schizophrenia
paliperidone	DRD2	D011618	Psychotic Disorders
pazopanib	FGFR3	D007680	Kidney Neoplasms
pegaptanib	VEGFA	D008269	Macular Edema
penbutolol	ADRB2	D006973	Hypertension
perindopril	ACE	D006973	Hypertension
perindoprilat	ACE	D006973	Hypertension
phentermine	SLC6A4	D009765	Obesity
pimozide	DRD2	D011618	Psychotic Disorders
pioglitazone	PPARG	D003924	Diabetes Mellitus, Type 2
pirbuterol	ADRB2	D001249	Asthma
pitavastatin	HMGCR	D006949	Hyperlipidemias
pitavastatin	HMGCR	D050171	Dyslipidemias
pitavastatin	HMGCR	D006937	Hypercholesterolemia
pitavastatin	HMGCR	D015228	Hypertriglyceridemia
pravastatin	HMGCR	D015228	Hypertriglyceridemia
prazosin	ADRA2C	D006973	Hypertension
prazosin	ADRA1A	D006973	Hypertension
prednisone	NR3C1	D001249	Asthma
prednisone	NR3C1	D029424	Pulmonary Disease, Chronic Obstructive
pregabalin	CACNA2D1	D001008	Anxiety Disorders
procainamide	SCN5A	D001145	Arrhythmias, Cardiac
promacta	MPL	D016553	Purpura, Thrombocytopenic, Idiopathic
promacta	MPL	D013921	Thrombocytopenia
propafenone	SCN5A	D014693	Ventricular Fibrillation
propafenone	SCN5A	D001281	Atrial Fibrillation
quetiapine	DRD2	D012559	Schizophrenia
quetiapine	DRD2	D001714	Bipolar Disorder
quinapril	ACE	D006973	Hypertension
quinaprilat	ACE	D006973	Hypertension
raloxifene	ESR1	D010024	Osteoporosis
raloxifene	ESR1	D001943	Breast Neoplasms
ramelteon	MTNR1B	D007319	Sleep Initiation and Maintenance Disorders
ramipril	ACE	D006973	Hypertension
ramiprilat	ACE	D006973	Hypertension
refludan	F2	D020246	Venous Thrombosis
regorafenib	KIT	D046152	Gastrointestinal Stromal Tumors
repaglinide	ABCC8	D003924	Diabetes Mellitus, Type 2
repaglinide	KCNJ11	D003924	Diabetes Mellitus, Type 2
revasc	F2	D020246	Venous Thrombosis
risperidone	DRD2	D012559	Schizophrenia
risperidone	DRD2	D001714	Bipolar Disorder
risperidone	DRD2	D011618	Psychotic Disorders
roflumilast	PDE4D	D001249	Asthma
roflumilast	PDE4D	D029424	Pulmonary Disease, Chronic Obstructive
ropinirole	DRD2	D012148	Restless Legs Syndrome
rosiglitazone	PPARG	D003924	Diabetes Mellitus, Type 2
rosuvastatin	HMGCR	D050171	Dyslipidemias
rosuvastatin	HMGCR	D006937	Hypercholesterolemia
rosuvastatin	HMGCR	D006949	Hyperlipidemias
rosuvastatin	HMGCR	D015228	Hypertriglyceridemia
rotigotine	DRD2	D012148	Restless Legs Syndrome
rufinamide	SCN1A	D004827	Epilepsy
rufinamide	SCN3A	D004827	Epilepsy
ruxolitinib	JAK2	D011087	Polycythemia Vera
ruxolitinib	JAK2	D055728	Primary Myelofibrosis
salbutamol	ADRB2	D001249	Asthma
sibutramine	SLC6A4	D009765	Obesity
simvastatin	HMGCR	D006949	Hyperlipidemias
simvastatin	HMGCR	D015228	Hypertriglyceridemia
sodium	BCL2	D015451	Leukemia, Lymphocytic, Chronic, B-Cell
sorafenib	RET	D013964	Thyroid Neoplasms
sotalol	KCNH2	D001281	Atrial Fibrillation
stiripentol	SCN1A	D004831	Epilepsies, Myoclonic
su5416	MPL	D016553	Purpura, Thrombocytopenic, Idiopathic
su5416	MPL	D013921	Thrombocytopenia
sulfasalazine	PTGS2	D003093	Colitis, Ulcerative
sunitinib	KIT	D046152	Gastrointestinal Stromal Tumors
sunitinib	RET	D018358	Neuroendocrine Tumors
suvorexant	HCRTR1	D007319	Sleep Initiation and Maintenance Disorders
suvorexant	HCRTR2	D007319	Sleep Initiation and Maintenance Disorders
symlin	CALCR	D003924	Diabetes Mellitus, Type 2
tafamidis	TTR	D028227	Amyloid Neuropathies, Familial
tamoxifen	ESR1	D001943	Breast Neoplasms
tasimelteon	MTNR1B	D020178	Sleep Disorders, Circadian Rhythm
tasimelteon	MTNR1B	D058496	Smith-Magenis Syndrome
thyroxine	TSHR	D007037	Hypothyroidism
tiagabine	SLC6A1	D004827	Epilepsy
tibolone	ESR1	D010024	Osteoporosis
tibolone	PGR	D008593	Menopause
timolol	ADRB1	D006973	Hypertension
timolol	ADRB2	D006973	Hypertension
tiotropium	CHRM3	D029424	Pulmonary Disease, Chronic Obstructive
tiotropium	CHRM3	D001249	Asthma
torasemide	SLC12A2	D006973	Hypertension
toremifene	ESR1	D001943	Breast Neoplasms
toremifene	ESR1	D010024	Osteoporosis
toremifene	ESR1	D006177	Gynecomastia
trandolapril	ACE	D006973	Hypertension
trans	PLG	D009203	Myocardial Infarction
trans	PLG	D013927	Thrombosis
trans	PLG	D020246	Venous Thrombosis
troglitazone	PPARG	D003924	Diabetes Mellitus, Type 2
ustekinumab	IL12B	D003093	Colitis, Ulcerative
ustekinumab	IL12B	D011565	Psoriasis
ustekinumab	IL12B	D003424	Crohn Disease
ustekinumab	IL12B	D015535	Arthritis, Psoriatic
valproate	SCN1A	D008881	Migraine Disorders
valproate	SCN1A	D004827	Epilepsy
valproate	SCN2A	D001714	Bipolar Disorder
valproate	SCN1A	D004829	Epilepsy, Generalized
vandetanib	RET	D013964	Thyroid Neoplasms
varenicline	CHRNA4	D014029	Tobacco Use Disorder
vernakalant	SCN5A	D001281	Atrial Fibrillation
ziprasidone	DRD2	D012559	Schizophrenia
ziprasidone	DRD2	D011618	Psychotic Disorders
ziprasidone	DRD2	D001714	Bipolar Disorder
zuclopenthixol	DRD2	D012559	Schizophrenia
zuclopenthixol	DRD2	D011618	Psychotic Disorders
zyprexa	CHRM4	D011618	Psychotic Disorders
zyprexa	CHRM3	D012559	Schizophrenia
zyprexa	DRD2	D003863	Depression
zyprexa	DRD2	D012559	Schizophrenia
zyprexa	DRD2	D011618	Psychotic Disorders
zyprexa	DRD2	D001714	Bipolar Disorder
zyprexa	CHRM4	D012559	Schizophrenia
