se_name	mesh_id	mesh_term	map_type	se_name_check	drug_count	check
Chest pain	D002637	Chest Pain	MM_CUI	Chest pain	552	TRUE
Anxiety	D001007	Anxiety	UMLS_MEDDRA	Anxiety	548	TRUE
Confusional state	D003221	Confusion	MM_CUI	Confusional state	545	TRUE
Angioedema	D000799	Angioedema	UMLS_MEDDRA	Angioedema	532	TRUE
Loss of consciousness	D014474	Unconsciousness	MM_CUI	Loss of consciousness	530	TRUE
Anaemia	D000740	Anemia	UMLS_MEDDRA	Anaemia	518	TRUE
Convulsion	D012640	Seizures	UMLS_MEDDRA	Convulsion	518	TRUE
Leukopenia	D007970	Leukopenia	UMLS_MEDDRA	Leukopenia	513	TRUE
Vertigo	D014717	Vertigo	UMLS_MEDDRA	Vertigo	508	TRUE
Malaise	D003866	Depressive Disorder	MANUAL_CURATION	Malaise	506	TRUE
Palpitations	D001145	Arrhythmias, Cardiac	MANUAL_CURATION	Palpitations	506	TRUE
Syncope	D013575	Syncope	MM_CUI	Syncope	506	TRUE
Back pain	D001416	Back Pain	MM_CUI	Back pain	502	TRUE
Ill-defined disorder				Ill-defined disorder	490	TRUE
Erythema	D004890	Erythema	UMLS_MEDDRA	Erythema	485	TRUE
Muscle spasms	D013035	Spasm	UMLS_MEDDRA	Muscle spasms	485	TRUE
Agitation	D011595	Psychomotor Agitation	MANUAL_CURATION	Agitation	475	TRUE
Malnutrition	D044342	Malnutrition	MM_CUI	Malnutrition	473	TRUE
Tremor	D014202	Tremor	MM_CUI	Tremor	466	TRUE
Mental disorder	D001523	Mental Disorders	UMLS_MEDDRA	Mental disorder	461	TRUE
Vision blurred	D015354	Vision, Low	MANUAL_CURATION	Vision blurred	460	TRUE
Dysgeusia	D004408	Dysgeusia	MM_CUI	Dysgeusia	459	TRUE
Angiopathy	D014652	Vascular Diseases	CUI_MATCH	Angiopathy	457	TRUE
Mediastinal disorder	D008477	Mediastinal Diseases	CUI_MATCH	Mediastinal disorder	455	TRUE
Immune system disorder	D007154	Immune System Diseases	MM_CUI	Immune system disorder	450	TRUE
Flatulence	D005414	Flatulence	UMLS_MEDDRA	Flatulence	448	TRUE
Alopecia	D000505	Alopecia	UMLS_MEDDRA	Alopecia	445	TRUE
Chills	D023341	Chills	MM_CUI	Chills	443	TRUE
Nervousness	D001007	Anxiety	LOOKUP_EXACT_UMLS_TERM	Nervousness	435	TRUE
Tension	D001007	Anxiety	MANUAL_CURATION	Tension	430	TRUE
Flushing	D005483	Flushing	MM_CUI	Flushing	428	TRUE
Cardiac disorder	D006331	Heart Diseases	UMLS_MEDDRA	Cardiac disorder	417	TRUE
Oedema peripheral	D004487	Edema	MANUAL_CURATION	Oedema peripheral	411	TRUE
Eye disorder	D005128	Eye Diseases	UMLS_MEDDRA	Eye disorder	408	TRUE
Arrhythmia	D001145	Arrhythmias, Cardiac	UMLS_MEDDRA	Arrhythmia	407	TRUE
Connective tissue disorder	D003240	Connective Tissue Diseases	UMLS_MEDDRA	Connective tissue disorder	406	TRUE
Tinnitus	D014012	Tinnitus	UMLS_MEDDRA	Tinnitus	395	TRUE
Erythema multiforme	D004892	Erythema Multiforme	UMLS_MEDDRA	Erythema multiforme	392	TRUE
Urethral disorder	D014570	Urologic Diseases	UMLS	Urethral disorder	388	TRUE
Visual impairment	D014786	Vision Disorders	LOOKUP_EXACT_UMLS_TERM	Visual impairment	387	TRUE
Pharyngitis	D010612	Pharyngitis	MM_CUI	Pharyngitis	386	TRUE
Haemorrhage	D006470	Hemorrhage	UMLS_MEDDRA	Haemorrhage	384	TRUE
Urinary tract disorder	D014570	Urologic Diseases	UMLS_MEDDRA	Urinary tract disorder	384	TRUE
Haemoglobin	D006470	Hemorrhage	UMLS	Haemoglobin	382	TRUE
Rhinitis	D012220	Rhinitis	UMLS_MEDDRA	Rhinitis	381	TRUE
Hepatitis	D006505	Hepatitis	UMLS_MEDDRA	Hepatitis	367	TRUE
Hypoaesthesia	D006987	Hypesthesia	UMLS_MEDDRA	Hypoaesthesia	366	TRUE
Bradycardia	D001919	Bradycardia	UMLS_MEDDRA	Bradycardia	364	TRUE
Sinusitis	D012852	Sinusitis	UMLS_MEDDRA	Sinusitis	358	TRUE
Urinary tract infection	D014552	Urinary Tract Infections	CUI_MATCH	Urinary tract infection	354	TRUE
Infestation	D004478	Ectoparasitic Infestations	MANUAL_CURATION	Infestation	353	TRUE
Infestation NOS	D004478	Ectoparasitic Infestations	MANUAL_CURATION	Infestation NOS	353	TRUE
Epistaxis	D004844	Epistaxis	MM_CUI	Epistaxis	352	TRUE
Blood and lymphatic system disorders	D006425	Hemic and Lymphatic Diseases	CUI_MATCH	Blood and lymphatic system disorders	346	TRUE
Hallucination	D010591	Phantom Limb	CUI_MATCH	Hallucination	346	TRUE
Hepatobiliary disease	D004066	Digestive System Diseases	LOOKUP_EXACT_UMLS_TERM	Hepatobiliary disease	346	TRUE
Neuropathy peripheral	D011115	Polyneuropathies	MANUAL_CURATION	Neuropathy peripheral	340	TRUE
Haematuria	D006417	Hematuria	UMLS_MEDDRA	Haematuria	338	TRUE
Pneumonia	D011014	Pneumonia	UMLS_MEDDRA	Pneumonia	337	TRUE
Acute coronary syndrome	D054058	Acute Coronary Syndrome	CUI_MATCH	Acute coronary syndrome	335	TRUE
Myocardial infarction	D009203	Myocardial Infarction	UMLS_MEDDRA	Myocardial infarction	335	TRUE
Agranulocytosis	D000380	Agranulocytosis	MM_CUI	Agranulocytosis	334	TRUE
Hyperglycaemia	D006943	Hyperglycemia	UMLS_MEDDRA	Hyperglycaemia	333	TRUE
Stomatitis	D013280	Stomatitis	UMLS_MEDDRA	Stomatitis	333	TRUE
Renal failure	D051437	Renal Insufficiency	UMLS	Renal failure	332	TRUE
Jaundice	D007565	Jaundice	UMLS_MEDDRA	Jaundice	331	TRUE
Conjunctivitis	D003231	Conjunctivitis	UMLS_MEDDRA	Conjunctivitis	330	TRUE
Upper respiratory tract infection	D012141	Respiratory Tract Infections	MANUAL_CURATION	Upper respiratory tract infection	330	TRUE
Weight increased	D015430	Weight Gain	UMLS_MEDDRA	Weight increased	329	TRUE
Sweating	D013546	Sweating	MM_CUI	Sweating	328	TRUE
Depression	D003863	Depression	UMLS_MEDDRA	Depression	323	TRUE
Stevens-Johnson syndrome	D013262	Stevens-Johnson Syndrome	EFO_MAP	Stevens-Johnson syndrome	320	TRUE
Pancreatitis	D010195	Pancreatitis	UMLS_MEDDRA	Pancreatitis	319	TRUE
Weight decreased	D015431	Weight Loss	CUI_MATCH	Weight decreased	319	TRUE
Neutropenia	D009503	Neutropenia	UMLS_MEDDRA	Neutropenia	316	TRUE
Photosensitivity reaction	D017484	Dermatitis, Phototoxic	MM_CUI	Photosensitivity reaction	308	TRUE
Bronchitis	D001991	Bronchitis	MM_CUI	Bronchitis	303	TRUE
Drowsiness	D000077260	Sleepiness	MANUAL_CURATION	Drowsiness	301	TRUE
Erectile dysfunction	D007172	Erectile Dysfunction	CUI_MATCH	Erectile dysfunction	300	TRUE
Pollakiuria	D011141	Polyuria	MANUAL_CURATION	Pollakiuria	300	TRUE
Dysuria	D053159	Dysuria	UMLS_MEDDRA	Dysuria	299	TRUE
Abdominal distension	D013272	Stomach Diseases	MANUAL_CURATION	Abdominal distension	298	TRUE
Pancytopenia	D010198	Pancytopenia	MM_CUI	Pancytopenia	298	TRUE
Eosinophilia	D004802	Eosinophilia	MM_CUI	Eosinophilia	294	TRUE
Sweating increased	D013546	Sweating	MANUAL_CURATION	Sweating increased	293	TRUE
Angina pectoris	D000787	Angina Pectoris	UMLS_MEDDRA	Angina pectoris	291	TRUE
Abdominal discomfort	D015746	Abdominal Pain	MANUAL_CURATION	Abdominal discomfort	290	TRUE
Bronchospasm	D001986	Bronchial Spasm	MM_CUI	Bronchospasm	289	TRUE
Nasopharyngitis	D009304	Nasopharyngitis	MM_CUI	Nasopharyngitis	286	TRUE
Influenza	D007251	Influenza, Human	UMLS_MEDDRA	Influenza	285	TRUE
Muscular weakness	D018908	Muscle Weakness	MM_CUI	Muscular weakness	281	TRUE
Aspartate aminotransferase increased	D001219	Aspartate Aminotransferases	MANUAL_CURATION	Aspartate aminotransferase increased	279	TRUE
Alanine aminotransferase increased	D000410	Alanine Transaminase	LOOKUP_TRIMMED_UMLS_TERM	Alanine aminotransferase increased	275	TRUE
Asthma	D001249	Asthma	UMLS_MEDDRA	Asthma	273	TRUE
Cramp muscle	D009120	Muscle Cramp	MM_CUI	Cramp muscle	273	TRUE
Abdominal pain upper	D015746	Abdominal Pain	MANUAL_CURATION	Abdominal pain upper	269	TRUE
Dysphagia	D003680	Deglutition Disorders	UMLS_MEDDRA	Dysphagia	268	TRUE
Dry skin	D007057	Ichthyosis	MANUAL_CURATION	Dry skin	265	TRUE
Gastritis	D005756	Gastritis	UMLS_MEDDRA	Gastritis	263	TRUE
Toxic epidermal necrolysis	D013262	Stevens-Johnson Syndrome	LOOKUP_EXACT_UMLS_TERM	Toxic epidermal necrolysis	259	TRUE
Hypokalaemia	D011191	Potassium Deficiency	EFO_MAP	Hypokalaemia	258	TRUE
Breast disorder	D001941	Breast Diseases	MM_CUI	Breast disorder	257	TRUE
Pain in extremity	D010146	Pain	MANUAL_CURATION	Pain in extremity	255	TRUE
Orthostatic hypotension	D007024	Hypotension, Orthostatic	UMLS_MEDDRA	Orthostatic hypotension	254	TRUE
Anaphylactoid reaction	D000707	Anaphylaxis	LOOKUP_EXACT_UMLS_TERM	Anaphylactoid reaction	252	TRUE
Blood creatinine increased	D003404	Creatinine	MANUAL_CURATION	Blood creatinine increased	249	TRUE
Liver function test abnormal	D008111	Liver Function Tests	MANUAL_CURATION	Liver function test abnormal	248	TRUE
Dehydration	D003681	Dehydration	MM_CUI	Dehydration	244	TRUE
Mood swings	D000339	Affect	MANUAL_CURATION	Mood swings	244	TRUE
Face oedema	D004487	Edema	MANUAL_CURATION	Face oedema	243	TRUE
Ataxia	D020234	Gait Ataxia	CUI_MATCH	Ataxia	240	TRUE
Cardiac arrest	D006323	Heart Arrest	CUI_MATCH	Cardiac arrest	238	TRUE
Urinary retention	D016055	Urinary Retention	UMLS_MEDDRA	Urinary retention	238	TRUE
Disturbance in sexual arousal	D007989	Libido	MANUAL_CURATION	Disturbance in sexual arousal	234	TRUE
Migraine	D008881	Migraine Disorders	UMLS_MEDDRA	Migraine	234	TRUE
Affect lability	D000339	Affect	MANUAL_CURATION	Affect lability	230	TRUE
Irritability	D007508	Irritable Mood	UMLS_MEDDRA	Irritability	230	TRUE
Menopausal symptoms	D019584	Hot Flashes	CUI_MATCH	Menopausal symptoms	226	TRUE
Cerebrovascular accident	D020521	Stroke	UMLS_MEDDRA	Cerebrovascular accident	225	TRUE
Arthritis	D001168	Arthritis	UMLS_MEDDRA	Arthritis	224	TRUE
Hypoglycaemia	D007003	Hypoglycemia	UMLS_MEDDRA	Hypoglycaemia	223	TRUE
Increased appetite	D001066	Appetite	MANUAL_CURATION	Increased appetite	223	TRUE
Lethargy	D053609	Lethargy	MM_CUI	Lethargy	223	TRUE
Psychotic disorder	D011618	Psychotic Disorders	MANUAL_CURATION	Psychotic disorder	223	TRUE
Hot flush	D019584	Hot Flashes	MM_CUI	Hot flush	222	TRUE
Osteoarthritis	D010003	Osteoarthritis	UMLS_MEDDRA	Osteoarthritis	222	TRUE
Gastrointestinal haemorrhage	D006471	Gastrointestinal Hemorrhage	CUI_MATCH	Gastrointestinal haemorrhage	220	TRUE
Cardiac failure	D006333	Heart Failure	UMLS_MEDDRA	Cardiac failure	219	TRUE
Ear and labyrinth disorders	D004423	Ear	TERM_MATCH	Ear and labyrinth disorders	219	TRUE
Hyponatraemia	D007010	Hyponatremia	UMLS_MEDDRA	Hyponatraemia	219	TRUE
Purpura	D011693	Purpura	UMLS_MEDDRA	Purpura	218	TRUE
Diplopia	D004172	Diplopia	MM_CUI	Diplopia	216	TRUE
Renal failure acute	D058186	Acute Kidney Injury	CUI_MATCH	Renal failure acute	213	TRUE
Thirst	D013894	Thirst	MM_CUI	Thirst	212	TRUE
Dermatitis bullous	D012872	Skin Diseases, Vesiculobullous	UMLS_MEDDRA	Dermatitis bullous	211	TRUE
Dermatitis exfoliative	D003873	Dermatitis, Exfoliative	CUI_MATCH	Dermatitis exfoliative	211	TRUE
Renal impairment	D051437	Renal Insufficiency	UMLS_MEDDRA	Renal impairment	211	TRUE
Libido decreased	D007989	Libido	MANUAL_CURATION	Libido decreased	210	TRUE
Atrial fibrillation	D001281	Atrial Fibrillation	UMLS_MEDDRA	Atrial fibrillation	209	TRUE
Injury	D014947	Wounds and Injuries	LOOKUP_EXACT_UMLS_TERM	Injury	208	TRUE
Swelling	D004487	Edema	MANUAL_CURATION	Swelling	208	TRUE
Thrombophlebitis	D013924	Thrombophlebitis	UMLS_MEDDRA	Thrombophlebitis	207	TRUE
Amnesia	D000647	Amnesia	UMLS_MEDDRA	Amnesia	206	TRUE
Hepatic failure	D017093	Liver Failure	UMLS_MEDDRA	Hepatic failure	206	TRUE
Nasal congestion	D012220	Rhinitis	MANUAL_CURATION	Nasal congestion	206	TRUE
Cardiac failure congestive	D006333	Heart Failure	LOOKUP_EXACT_MEDDRA_TERM	Cardiac failure congestive	205	TRUE
Diabetes mellitus	D003920	Diabetes Mellitus	UMLS_MEDDRA	Diabetes mellitus	205	TRUE
Haemolytic anaemia	D000743	Anemia, Hemolytic	MM_CUI	Haemolytic anaemia	204	TRUE
Visual disturbance	D014786	Vision Disorders	MANUAL_CURATION	Visual disturbance	203	TRUE
Vascular purpura	D011695	Purpura, Schoenlein-Henoch	MANUAL_CURATION	Vascular purpura	202	TRUE
Eye pain	D058447	Eye Pain	MM_CUI	Eye pain	200	TRUE
Eczema	D004485	Eczema	UMLS_MEDDRA	Eczema	198	TRUE
Gastroenteritis	D005759	Gastroenteritis	UMLS_MEDDRA	Gastroenteritis	197	TRUE
Injection site reaction	D000075662	Injection Site Reaction	MM_CUI	Injection site reaction	197	TRUE
Polyuria	D011141	Polyuria	UMLS_MEDDRA	Polyuria	197	TRUE
Sleep disorder	D012893	Sleep Wake Disorders	UMLS_MEDDRA	Sleep disorder	197	TRUE
Deafness	D034381	Hearing Loss	CUI_MATCH	Deafness	195	TRUE
Blood alkaline phosphatase increased	D000469	Alkaline Phosphatase	MANUAL_CURATION	Blood alkaline phosphatase increased	191	TRUE
Sepsis	D018805	Sepsis	UMLS_MEDDRA	Sepsis	191	TRUE
Lymphadenopathy	D000072281	Lymphadenopathy	MM_CUI	Lymphadenopathy	190	TRUE
Photosensitivity	D010787	Photosensitivity Disorders	MANUAL_CURATION	Photosensitivity	189	TRUE
Hepatic function abnormal	D008111	Liver Function Tests	MANUAL_CURATION	Hepatic function abnormal	185	TRUE
Ecchymosis	D004438	Ecchymosis	MM_CUI	Ecchymosis	183	TRUE
Ear pain	D004433	Earache	MM_CUI	Ear pain	180	TRUE
Pulmonary oedema	D011654	Pulmonary Edema	UMLS_MEDDRA	Pulmonary oedema	179	TRUE
Gynaecomastia	D006177	Gynecomastia	UMLS_MEDDRA	Gynaecomastia	178	TRUE
Neoplasm	D009369	Neoplasms	MM_CUI	Neoplasm	178	TRUE
Disorientation	D003221	Confusion	LOOKUP_EXACT_UMLS_TERM	Disorientation	176	TRUE
Hypertonia	D009122	Muscle Hypertonia	MM_CUI	Hypertonia	176	TRUE
Mental disability	D008607	Intellectual Disability	MANUAL_CURATION	Mental disability	175	TRUE
Oesophagitis	D004941	Esophagitis	UMLS_MEDDRA	Oesophagitis	175	TRUE
Urine output increased	D011141	Polyuria	MANUAL_CURATION	Urine output increased	174	TRUE
Abnormal vision	D014786	Vision Disorders	MANUAL_CURATION	Abnormal vision	173	TRUE
Coma	D003128	Coma	MM_CUI	Coma	173	TRUE
Mouth ulceration	D019226	Oral Ulcer	UMLS_MEDDRA	Mouth ulceration	173	TRUE
Phlebitis	D010689	Phlebitis	MM_CUI	Phlebitis	173	TRUE
Pulmonary embolism	D011655	Pulmonary Embolism	UMLS_MEDDRA	Pulmonary embolism	173	TRUE
Rash maculo-papular	D005076	Exanthema	REVERSE SUBSTRING MATCH	Rash maculo-papular	173	TRUE
Wheezing	D012135	Respiratory Sounds	LOOKUP_EXACT_UMLS_TERM	Wheezing	173	TRUE
Candida infection	D002177	Candidiasis	UMLS_MEDDRA	Candida infection	170	TRUE
Euphoric mood	D005059	Euphoria	MM_CUI	Euphoric mood	170	TRUE
Hyperkinesia	D006948	Hyperkinesis	LOOKUP_EXACT_UMLS_TERM	Hyperkinesia	170	TRUE
Neuropathy	D011115	Polyneuropathies	MANUAL_CURATION	Neuropathy	169	TRUE
Musculoskeletal pain	D059352	Musculoskeletal Pain	UMLS_MEDDRA	Musculoskeletal pain	168	TRUE
Bladder pain	D010146	Pain	REVERSE SUBSTRING MATCH	Bladder pain	167	TRUE
Vaginal infection	D014627	Vaginitis	MANUAL_CURATION	Vaginal infection	167	TRUE
Blood urea increased	D014508	Urea	MANUAL_CURATION	Blood urea increased	166	TRUE
Influenza like illness	D007251	Influenza, Human	MANUAL_CURATION	Influenza like illness	166	TRUE
Fluid retention	D004487	Edema	MANUAL_CURATION	Fluid retention	165	TRUE
Dry eye	D015352	Dry Eye Syndromes	LOOKUP_EXACT_UMLS_TERM	Dry eye	163	TRUE
Aplastic anaemia	D000741	Anemia, Aplastic	CUI_MATCH	Aplastic anaemia	162	TRUE
Photophobia	D020795	Photophobia	MM_CUI	Photophobia	160	TRUE
Urinary incontinence	D014549	Urinary Incontinence	UMLS_MEDDRA	Urinary incontinence	160	TRUE
Dermatitis contact	D003877	Dermatitis, Contact	UMLS_MEDDRA	Dermatitis contact	159	TRUE
Skin exfoliation	D003873	Dermatitis, Exfoliative	MANUAL_CURATION	Skin exfoliation	159	TRUE
Cramps of lower extremities	D010146	Pain	MANUAL_CURATION	Cramps of lower extremities	158	TRUE
Melaena	D008551	Melena	MM_CUI	Melaena	158	TRUE
Hyperkalaemia	D006947	Hyperkalemia	UMLS_MEDDRA	Hyperkalaemia	157	TRUE
Lightheadedness	D004244	Dizziness	MANUAL_CURATION	Lightheadedness	157	TRUE
Bone pain	D010146	Pain	REVERSE SUBSTRING MATCH	Bone pain	155	TRUE
Eructation	D004884	Eructation	MM_CUI	Eructation	155	TRUE
Inflammation	D007249	Inflammation	UMLS_MEDDRA	Inflammation	155	TRUE
Vaginal inflammation	D014627	Vaginitis	UMLS_MEDDRA	Vaginal inflammation	154	TRUE
Vasculitis	D056647	Systemic Vasculitis	CUI_MATCH	Vasculitis	154	TRUE
Cystitis	D003556	Cystitis	MM_CUI	Cystitis	153	TRUE
Blood uric acid increased	D014527	Uric Acid	LOOKUP_TRIMMED_MEDDRA_TERM	Blood uric acid increased	151	TRUE
Cystitis noninfective	D003556	Cystitis	MM_CUI	Cystitis noninfective	151	TRUE
Neck pain	D019547	Neck Pain	MM_CUI	Neck pain	151	TRUE
Salivary hypersecretion	D012798	Sialorrhea	UMLS_MEDDRA	Salivary hypersecretion	151	TRUE
Abnormal dreams	D004325	Dreams	MANUAL_CURATION	Abnormal dreams	150	TRUE
Colitis	D003092	Colitis	UMLS_MEDDRA	Colitis	150	TRUE
Leukocytosis	D007964	Leukocytosis	MM_CUI	Leukocytosis	150	TRUE
Phosphatase alkaline increased	D000469	Alkaline Phosphatase	MANUAL_CURATION	Phosphatase alkaline increased	150	TRUE
Hepatocellular injury	D056486	Chemical and Drug Induced Liver Injury	MANUAL_CURATION	Hepatocellular injury	149	TRUE
Oropharyngeal pain	D010146	Pain	REVERSE SUBSTRING MATCH	Oropharyngeal pain	149	TRUE
Blood pressure increased	D006973	Hypertension	MANUAL_CURATION	Blood pressure increased	148	TRUE
Nightmare	D004325	Dreams	LOOKUP_EXACT_UMLS_TERM	Nightmare	148	TRUE
Cough increased	D003371	Cough	LOOKUP_TRIMMED_UMLS_TERM	Cough increased	147	TRUE
Injection site pain	D010146	Pain	REVERSE SUBSTRING MATCH	Injection site pain	147	TRUE
Hiccups	D006606	Hiccup	TERM_MATCH	Hiccups	146	TRUE
Muscle twitching	D013035	Spasm	MANUAL_CURATION	Muscle twitching	146	TRUE
Depressed level of consciousness	D003244	Consciousness Disorders	LOOKUP_EXACT_UMLS_TERM	Depressed level of consciousness	145	TRUE
Lacrimation increased	D007766	Lacrimal Apparatus Diseases	MANUAL_CURATION	Lacrimation increased	145	TRUE
Ventricular tachycardia	D017180	Tachycardia, Ventricular	UMLS_MEDDRA	Ventricular tachycardia	145	TRUE
Cataract	D002386	Cataract	UMLS_MEDDRA	Cataract	144	TRUE
Hearing impaired	D034381	Hearing Loss	UMLS_MEDDRA	Hearing impaired	144	TRUE
Gait disturbance	D020234	Gait Ataxia	MANUAL_CURATION	Gait disturbance	143	TRUE
Glossitis	D005928	Glossitis	MM_CUI	Glossitis	143	TRUE
Coordination abnormal	D011597	Psychomotor Performance	MANUAL_CURATION	Coordination abnormal	141	TRUE
Dysmenorrhoea	D004412	Dysmenorrhea	UMLS_MEDDRA	Dysmenorrhoea	141	TRUE
Gastrooesophageal reflux disease	D005764	Gastroesophageal Reflux	UMLS_MEDDRA	Gastrooesophageal reflux disease	141	TRUE
Hypercholesterolaemia	D006937	Hypercholesterolemia	UMLS_MEDDRA	Hypercholesterolaemia	141	TRUE
Respiratory failure	D007040	Hypoventilation	UMLS	Respiratory failure	141	TRUE
Creatinine increased	D003404	Creatinine	LOOKUP_TRIMMED_UMLS_TERM	Creatinine increased	140	TRUE
Hyperbilirubinaemia	D006932	Hyperbilirubinemia	UMLS_MEDDRA	Hyperbilirubinaemia	140	TRUE
Contusion	D003288	Contusions	MM_CUI	Contusion	139	TRUE
Gout	D006073	Gout	UMLS_MEDDRA	Gout	139	TRUE
Hyperuricaemia	D033461	Hyperuricemia	UMLS_MEDDRA	Hyperuricaemia	139	TRUE
Musculoskeletal stiffness	D059289	Vascular Stiffness	REVERSE SUBSTRING MATCH	Musculoskeletal stiffness	139	TRUE
Rectal haemorrhage	D006470	Hemorrhage	REVERSE SUBSTRING MATCH	Rectal haemorrhage	139	TRUE
Blood bilirubin increased	D007565	Jaundice	MANUAL_CURATION	Blood bilirubin increased	138	TRUE
Hepatic enzyme increased	D056486	Chemical and Drug Induced Liver Injury	MANUAL_CURATION	Hepatic enzyme increased	138	TRUE
Chest discomfort	D002637	Chest Pain	MANUAL_CURATION	Chest discomfort	137	TRUE
Pallor	D010167	Pallor	MM_CUI	Pallor	137	TRUE
Protein urine present	D011507	Proteinuria	MANUAL_CURATION	Protein urine present	137	TRUE
Skin discolouration	D010859	Pigmentation Disorders	UMLS	Skin discolouration	137	TRUE
Nocturia	D053158	Nocturia	MM_CUI	Nocturia	136	TRUE
Rhabdomyolysis	D012206	Rhabdomyolysis	MM_CUI	Rhabdomyolysis	136	TRUE
Arthropathy	D007592	Joint Diseases	UMLS_MEDDRA	Arthropathy	135	TRUE
Hypocalcaemia	D006996	Hypocalcemia	UMLS_MEDDRA	Hypocalcaemia	135	TRUE
Jaundice cholestatic	D041781	Jaundice, Obstructive	EFO_MAP	Jaundice cholestatic	135	TRUE
Neoplasm malignant	D009369	Neoplasms	UMLS_MEDDRA	Neoplasm malignant	135	TRUE
Atrioventricular block	D054537	Atrioventricular Block	MM_CUI	Atrioventricular block	134	TRUE
Proteinuria	D011507	Proteinuria	UMLS_MEDDRA	Proteinuria	134	TRUE
Ulcer	D014456	Ulcer	UMLS_MEDDRA	Ulcer	134	TRUE
Drug interaction	D004347	Drug Interactions	MM_CUI	Drug interaction	133	TRUE
Herpes simplex	D006561	Herpes Simplex	CUI_MATCH	Herpes simplex	133	TRUE
Vasodilation	D014664	Vasodilation	MM_CUI	Vasodilation	133	TRUE
Vasodilation procedure	D014664	Vasodilation	MM_CUI	Vasodilation procedure	133	TRUE
Acne	D000152	Acne Vulgaris	MANUAL_CURATION	Acne	132	TRUE
